"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.888333253E-4,-1.330963692E-1,1.890580237E-1,-1.344886497E0,1.364616162E0
1.062983333E-2,8.022379875E-2,-1.821448606E-1,-8.231166404E-1,8.468374176E-1
2.067183334E-2,-1.104082954E-1,-5.355017504E-1,-3.805753863E-1,6.661754581E-1
3.071283331E-2,-5.813233097E-1,-5.490047255E-1,2.543416017E-1,8.390665226E-1
4.075383331E-2,-7.745743717E-1,1.728086114E-2,7.892893285E-1,1.106002590E0
5.079583332E-2,-6.854935031E-1,3.652334619E-1,6.963887662E-1,1.043194200E0
6.083683332E-2,-3.853516844E-1,2.048142233E-1,4.072527230E-2,4.382959440E-1
7.087783332E-2,-3.193329652E-1,-2.113768458E-4,-3.325334930E-1,4.610337421E-1
8.091883332E-2,-1.314190954E-1,3.178224832E-2,-2.818644458E-1,3.126158277E-1
9.096083333E-2,1.908196436E-1,-1.112871319E-2,-1.490893811E-1,2.424121041E-1
1.010018333E-1,3.004973294E-1,-2.418648130E-1,-7.306739151E-2,3.926016765E-1
1.110428333E-1,2.889176497E-1,-2.928244668E-1,-2.072247380E-1,4.606101049E-1
1.210848333E-1,1.349923289E-1,-2.286515674E-1,-3.944502443E-1,4.754949667E-1
1.311258333E-1,2.318093562E-1,-5.421661144E-1,-5.143579262E-1,7.824600626E-1
1.411668333E-1,3.619018646E-1,-1.010483942E0,-7.917206007E-1,1.333743703E0
1.512078333E-1,-1.427876906E-1,-1.057226291E-1,-6.325360018E-1,6.570139972E-1
1.612498333E-1,-3.066576634E-1,3.480183819E-1,-1.034027463E-1,4.752345154E-1
1.712908333E-1,-1.173518201E0,3.067037103E-1,5.829942977E-1,1.345769106E0
1.813318333E-1,-8.170690115E-1,7.253810155E-1,1.160179387E0,1.593673617E0
1.913738333E-1,-4.996416539E-2,3.155675045E-1,3.321189255E-1,4.608494856E-1
2.014148333E-1,-3.544742927E-1,1.448972198E-1,-2.398750055E-1,4.518708297E-1
2.114558333E-1,-1.838281278E-1,5.338695002E-1,-5.122786564E-1,7.623902187E-1
2.214978333E-1,-4.691310288E-1,1.088404815E0,-5.117032903E-1,1.290948961E0
2.315388333E-1,-1.212449109E0,4.442141426E-1,-1.561551565E0,2.026277952E0
