"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.432225000E-2,-6.481737953E-1,-1.303098786E-1,-4.878220922E-1,8.216327203E-1
3.433725000E-2,-4.713377680E-1,7.008355737E-2,-8.868594772E-1,1.006772431E0
4.435325000E-2,-3.891425805E-1,2.122451574E-1,-1.039823808E0,1.130359901E0
5.436825000E-2,-4.470525272E-1,1.696081379E-1,-9.153278160E-1,1.032689640E0
6.438325000E-2,-5.346666218E-1,-7.333080858E-2,-5.509135491E-1,7.712013632E-1
7.439825000E-2,-5.859582514E-1,-4.496894753E-1,-5.914458632E-3,7.386492248E-1
8.441425000E-2,-6.842024378E-1,-7.454147458E-1,6.111913258E-1,1.182087542E0
9.442925000E-2,-7.848881292E-1,-7.549886844E-1,1.135183125E0,1.573117292E0
1.044442500E-1,-6.817604944E-1,-7.012308455E-1,1.549914436E0,1.832691144E0
1.144601250E-1,-3.686482358E-1,-9.438362083E-1,1.571976566E0,1.870250955E0
1.244761250E-1,-3.771040405E-1,-1.024307637E0,1.138599653E0,1.577283348E0
1.344911250E-1,-6.649156894E-1,-7.925769255E-1,7.094005752E-1,1.254408320E0
1.445061250E-1,-8.815377800E-1,-7.221437046E-1,3.637324816E-1,1.196203037E0
1.545211250E-1,-7.902090955E-1,-8.031849441E-1,5.116880876E-1,1.237481785E0
1.645371250E-1,-4.107733315E-1,-1.075038957E0,5.813120538E-1,1.289328194E0
1.745521250E-1,4.487840340E-2,-1.674110174E0,9.777977139E-1,1.939264632E0
1.845671250E-1,1.352487293E0,-1.444388858E0,2.556362337E0,3.232718585E0
1.945821250E-1,2.109597932E0,-1.611905155E0,5.230258387E0,5.865513146E0
2.045981250E-1,2.008636398E0,-2.751239803E0,4.589100666E0,5.715224016E0
2.146131250E-1,2.390462211E0,-3.155513662E0,1.906931391E0,4.394082769E0
2.246281250E-1,2.296466466E0,-3.212693583E0,1.110768660E0,4.102312190E0
