"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-2.278125001E-3,1.083607467E-1,-2.488107204E-2,4.126918030E-1,4.274057129E-1
7.736875006E-3,8.252337711E-1,8.027934730E-2,-6.803048301E-1,1.072506509E0
1.775187500E-2,6.125353083E-1,-9.644514441E-2,-1.605102797E0,1.720713851E0
2.776687501E-2,5.152639523E-2,-1.412810093E-1,-1.760003141E0,1.766416244E0
3.778087501E-2,-1.210572445E-1,-1.334872556E-1,-1.564503239E0,1.574847323E0
4.779587501E-2,8.902429685E-2,-2.540077257E-1,-1.411200939E0,1.436639600E0
5.781087501E-2,3.145622219E-1,-3.316260052E-1,-1.252660704E0,1.333448176E0
6.782587501E-2,3.035046986E-1,-4.210258394E-1,-9.748805380E-1,1.104431946E0
7.783987501E-2,4.480253577E-1,-3.355424702E-1,-5.458346575E-1,7.818253922E-1
8.785487500E-2,7.676769961E-1,-1.548354399E-1,1.690406656E-1,8.011720979E-1
9.786987501E-2,1.248594550E0,-4.102581918E-2,9.989967942E-1,1.599583090E0
1.078848750E-1,1.524856632E0,-1.419955391E-1,1.740909643E0,2.318645481E0
1.178998750E-1,1.660438214E0,-5.381894231E-2,2.236734234E0,2.786203793E0
1.279138750E-1,1.883335537E0,2.340891856E-1,1.849556172E0,2.650020476E0
1.379288750E-1,1.730119337E0,-5.747310126E-1,1.614240240E0,2.435035977E0
1.479438750E-1,6.984006469E-1,-1.502229808E0,1.947814538E0,2.557037218E0
1.579588750E-1,1.961753861E0,-5.396225756E-1,2.982039052E-1,2.056355102E0
1.679738750E-1,2.853313477E0,1.346648848E0,-1.634448802E-1,3.159363092E0
1.779878750E-1,2.745134432E0,1.992834590E0,1.529569049E0,3.721120024E0
1.880028750E-1,2.430413312E0,1.648833538E0,1.985491072E0,3.545100238E0
1.980178750E-1,1.627616916E0,1.040645927E0,7.865908384E-1,2.085858556E0
2.080328750E-1,7.069743461E-1,-2.275818193E-1,1.908057564E-1,7.668200879E-1
2.180478750E-1,3.032618929E-1,-2.961456853E-1,1.015965414E-1,4.358806028E-1
2.280618750E-1,1.235384082E0,-1.999408615E-1,7.204295933E-2,1.253531159E0
2.380768750E-1,1.972952157E0,-2.082351369E-1,6.784231961E-1,2.096702200E0
2.480918750E-1,1.900556464E0,-2.874894673E-1,2.526470786E0,3.174558190E0
2.581068750E-1,2.627931088E0,-1.188365305E0,5.036058322E0,5.803457360E0
2.681208750E-1,4.592641155E0,-1.084621666E0,2.579889779E0,5.378158440E0
2.781358750E-1,7.704570841E0,5.643907964E-1,-2.959100425E-2,7.725271803E0
2.881508750E-1,1.039444675E1,3.775763494E-1,-1.079924598E0,1.045721398E1
2.981658750E-1,1.084855321E1,6.515102166E-1,-3.310809277E0,1.136120726E1
3.081808750E-1,8.538979039E0,-9.156766024E-1,-2.452091280E0,8.931146529E0
3.181948750E-1,5.098345202E0,-1.706720388E0,-2.704226142E0,6.018210474E0
3.282098750E-1,2.203969069E0,-1.686735774E0,-2.894121487E0,4.009800046E0
3.382248750E-1,4.695232308E-1,-2.018369381E0,-1.173789951E0,2.381606573E0
3.482398750E-1,-6.955154845E-1,3.061572880E-2,9.604548723E-1,1.186234662E0
3.582548750E-1,2.240201633E0,1.698844773E0,-2.739124664E0,3.925223668E0
3.682688750E-1,3.556344388E0,9.019888553E-1,-4.199188446E0,5.576231066E0
3.782838750E-1,-1.298076905E0,-3.080313790E0,1.015344440E0,3.493459751E0
3.882988750E-1,-8.949598589E0,-8.097743468E0,1.131765778E1,1.654563815E1
3.983138750E-1,-6.640507400E0,-1.923488367E0,9.577359170E0,1.181194119E1
4.083288750E-1,-2.307622368E0,5.634543648E-1,3.856725796E0,4.529562416E0
4.183428750E-1,-7.725879264E-1,-1.123823154E-1,-2.447365560E0,2.568875254E0
4.283578750E-1,-1.699759862E0,-9.321868005E-1,-4.712501475E0,5.095667372E0
4.383728750E-1,-3.015427823E0,-6.277754912E-1,-4.205340886E0,5.212657575E0
4.483878750E-1,-2.808612390E0,1.488928854E0,-4.071008123E0,5.165105984E0
4.584018750E-1,-1.749623163E0,2.709289246E0,-5.065112552E0,6.004731018E0
4.684168750E-1,-9.245085293E-1,-3.307530159E-1,-7.415656992E0,7.480379816E0
4.784318750E-1,-9.639757732E-1,-3.065127110E0,-8.593675064E0,9.174720954E0
4.884468750E-1,-1.897053105E0,-3.391800231E0,-8.346016245E0,9.206470901E0
4.984618750E-1,-2.462564228E0,-4.446633257E0,-6.644312183E0,8.365623365E0
5.084758750E-1,-1.275052616E0,-5.397638444E0,-1.180231243E-1,5.547448909E0
5.184908750E-1,-4.396313873E-1,-8.154470816E0,2.721276623E0,8.607788130E0
5.285055000E-1,1.057162557E0,-8.195152819E0,9.438962007E0,1.254480475E1
5.385205000E-1,2.173903563E0,-3.769805473E0,8.897708058E0,9.904872473E0
5.485355000E-1,-6.059469581E-3,1.181786603E-1,-1.699007910E0,1.703123834E0
5.585495000E-1,3.854467016E-1,6.711442897E-1,-5.313352000E0,5.369423925E0
5.685645000E-1,4.047260242E0,1.736191817E0,2.329133690E0,4.981921440E0
5.785795000E-1,3.775941541E0,3.487337595E0,9.139103925E0,1.048534590E1
5.885945000E-1,1.688015145E-1,5.107268053E0,2.246358166E0,5.582007339E0
5.986085000E-1,-1.266982874E0,6.646328303E0,-5.355132694E0,8.628810561E0
6.086235000E-1,-2.461316139E0,7.274354932E0,-5.554569526E0,9.477740207E0
6.186385000E-1,-1.207503534E0,7.158709871E0,-4.145974106E0,8.360280682E0
6.286535000E-1,1.596926635E0,6.751625547E0,-4.704197844E0,8.382368374E0
6.386685000E-1,4.011786938E0,6.175125167E0,-5.951583189E0,9.468260016E0
6.486825000E-1,4.407014278E0,6.104535241E0,-5.985661932E0,9.618486061E0
6.586975000E-1,4.236483157E0,4.268748093E0,-5.817595997E0,8.367462160E0
6.687125000E-1,5.144845185E0,1.827796636E0,-5.541675830E0,7.779488642E0
6.787275000E-1,6.083588760E0,4.243520281E-1,-5.664953848E0,8.323570685E0
6.887425000E-1,5.594711246E0,7.165762782E-2,-6.120745477E0,8.292735009E0
6.987565000E-1,4.702695694E0,4.101506031E-1,-4.895743273E0,6.800872922E0
7.087715000E-1,5.056791964E0,7.417608207E-1,-3.741619263E0,6.334119417E0
7.187865000E-1,6.168883849E0,2.628586560E-2,-3.937496894E0,7.318449336E0
7.288015000E-1,7.046237508E0,-1.710628082E0,-3.696198676E0,8.138648297E0
7.388155000E-1,8.360950034E0,-3.225377948E0,-1.666853487E0,9.115204272E0
7.488305000E-1,1.012277692E1,-3.898967251E0,8.111579150E-2,1.084800157E1
7.588455000E-1,1.211290250E1,-3.524198150E0,1.762579424E0,1.273770253E1
7.688605000E-1,1.298559709E1,-3.417754267E0,5.095618646E0,1.436217621E1
7.788755000E-1,1.107217529E1,-2.375909076E0,9.064099935E0,1.450503076E1
7.888895000E-1,8.298655552E0,3.266734135E-1,1.193929165E1,1.454376445E1
7.989045000E-1,3.321092191E0,4.619275807E0,1.268584192E1,1.390316322E1
8.089195000E-1,-2.862760531E0,8.500835313E0,1.270430743E1,1.555181745E1
8.189345000E-1,-7.869290999E0,9.437485585E0,1.322673159E1,1.805376148E1
8.289495000E-1,-8.999054924E0,6.382137651E0,1.377003031E1,1.764450071E1
8.389635000E-1,-8.063536672E0,3.585847099E0,1.322468974E1,1.589878429E1
8.489785000E-1,-7.795624852E0,2.994563203E0,1.202569010E1,1.464091521E1
8.589935000E-1,-7.391742464E0,4.043410435E0,9.699940783E0,1.284818570E1
8.690085000E-1,-8.821649816E0,4.451875286E0,9.761401452E0,1.388976808E1
8.790225000E-1,-1.160428127E1,5.131631647E0,8.941180937E0,1.552216814E1
8.890375000E-1,-1.343905919E1,6.252794902E0,7.033533263E0,1.640659460E1
8.990525000E-1,-1.424426172E1,6.687224314E0,6.101147364E0,1.687726163E1
9.090675000E-1,-1.436070083E1,6.097060745E0,5.944671196E0,1.669559803E1
9.190825000E-1,-1.306101682E1,4.614867591E0,3.421059698E0,1.426852525E1
9.290965000E-1,-1.103078870E1,2.919583188E0,1.877551179E0,1.156405914E1
9.391115000E-1,-9.270344680E0,1.807355062E0,1.383452685E0,9.545667297E0
9.491265000E-1,-1.327798477E1,-4.407794881E-1,4.279210223E0,1.395746418E1
9.591415000E-1,-2.370438538E1,-8.751139412E0,2.170468909E-1,2.526910043E1
9.691555000E-1,-2.307037413E1,-1.092671294E1,-2.079252812E1,3.292361529E1
9.791705000E-1,-4.303748648E0,-6.721082032E0,-3.181488280E1,3.280063968E1
9.891855000E-1,5.162033660E0,-2.559053226E0,-2.102428836E1,2.179945059E1
9.992005000E-1,4.929419142E0,2.383351997E0,-6.148955369E0,8.233419214E0
1.009215500E0,1.333909519E0,3.566460071E0,-8.527871668E-1,3.902076113E0
1.019229500E0,-1.345940019E0,2.391340463E0,-1.330489044E0,3.049633559E0
1.029244500E0,-1.358932533E0,3.289411392E0,3.269925545E0,4.833149905E0
1.039259500E0,-7.849452858E-1,8.229245009E0,7.696204060E0,1.129460798E1
1.049274500E0,-3.242234302E-1,1.366285903E1,1.107014631E1,1.758769391E1
1.059288500E0,-1.359602770E0,1.668522048E1,1.098559206E1,2.002319493E1
1.069303500E0,-2.925015836E0,1.620573711E1,9.925123490E0,1.922731674E1
1.079318500E0,-2.980585434E0,1.444392308E1,8.060911272E0,1.680741188E1
1.089333500E0,-2.110917064E0,1.311128299E1,4.685245264E0,1.408237323E1
1.099348500E0,-2.605862526E0,1.316950606E1,5.815204486E0,1.463020890E1
1.109362500E0,-2.555365972E0,1.377747615E1,5.875599207E0,1.519445328E1
1.119377500E0,-2.800297357E0,1.284986802E1,5.398280468E0,1.421626552E1
1.129392500E0,-4.297820157E0,1.051824517E1,5.954671104E0,1.282820515E1
1.139407500E0,-4.389178223E0,8.804277738E0,4.167742705E0,1.068411303E1
1.149422500E0,-3.054754734E0,8.301903096E0,2.767481613E0,9.268876738E0
1.159436500E0,-2.092466467E0,6.833625146E0,1.230631611E0,7.251986122E0
1.169451500E0,-1.904477022E0,4.004080893E0,-8.705112469E-1,4.518571274E0
1.179466500E0,-1.291706948E0,7.870691407E-1,-2.493057457E0,2.916045294E0
1.189481500E0,2.042055647E-1,-1.869306897E0,-4.160525779E0,4.565740131E0
1.199495500E0,2.061929091E0,-4.403028231E0,-3.047083479E0,5.737850373E0
1.209510500E0,3.441788662E0,-6.367528968E0,-3.220741691E0,7.922405657E0
1.219525500E0,3.703446300E0,-8.596451907E0,-3.890651633E0,1.013664984E1
1.229540500E0,3.122930052E0,-1.005813712E1,-4.435940161E0,1.142787730E1
1.239555500E0,2.532195503E0,-9.473197455E0,-5.976144419E0,1.148336998E1
1.249569500E0,1.933614282E0,-8.058108702E0,-5.334287370E0,9.855282938E0
1.259584500E0,9.308785591E-1,-7.215164738E0,-3.732666298E0,8.176670152E0
1.269599500E0,9.454209499E-2,-9.726458491E0,-3.845924234E0,1.045963987E1
1.279614500E0,-1.278653039E0,-1.015691530E1,-6.483712558E0,1.211760746E1
1.289628500E0,4.687329796E-1,-8.053614532E0,-4.387900314E0,9.183359233E0
1.299643500E0,3.656509823E0,-1.406969543E1,-2.457962469E0,1.474340440E1
1.309658500E0,3.754597158E0,-1.239668190E1,-5.279578482E0,1.398744691E1
1.319673500E0,9.767716737E-1,-7.173325571E0,-7.455833795E0,1.039231159E1
