"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.627333332E-3,2.010623574E-2,-1.629735947E-1,-5.872890776E-1,6.098139995E-1
1.564333333E-2,-1.617266759E-1,-1.657989693E-1,-7.857967865E-1,8.192199983E-1
2.565833332E-2,-2.681457084E-1,-1.175255263E-1,-5.477227235E-1,6.210592179E-1
3.567433333E-2,-4.559340093E-1,-1.967968136E-1,2.060687435E-1,5.376514983E-1
4.568933333E-2,-4.283006528E-1,-2.566471589E-1,6.028210366E-1,7.827531000E-1
5.570433332E-2,-1.390710359E-1,-4.956392348E-2,6.972138083E-1,7.126741401E-1
6.572033332E-2,1.762909389E-1,1.122367197E-1,6.888072664E-1,7.198131887E-1
7.573533333E-2,4.603115273E-1,3.916763252E-1,5.053935599E-1,7.878576624E-1
8.575033332E-2,5.734545654E-1,5.552194387E-1,-7.653245151E-2,8.018578302E-1
9.576633332E-2,4.957783985E-1,4.643981463E-1,-8.204538184E-1,1.065179012E0
1.057813333E-1,2.461794734E-1,2.413198525E-1,-1.414226289E0,1.455635806E0
1.157973333E-1,-1.495364007E-1,-5.775411844E-2,-1.311887151E0,1.321644646E0
1.258123333E-1,-1.777755287E-1,1.180710715E-1,-5.972170651E-1,6.342027589E-1
1.358273333E-1,1.034743747E-1,3.793270057E-1,1.235124904E0,1.296198076E0
1.458433333E-1,7.617404643E-1,2.808797747E-1,2.242127706E0,2.384591921E0
1.558583333E-1,8.899447605E-1,-7.447481632E-2,9.367321336E-1,1.294223808E0
1.658743333E-1,8.221155971E-1,-1.864928502E-1,4.816977185E-1,9.709203522E-1
1.758893333E-1,1.113506911E0,-6.328499973E-2,1.220962948E-1,1.121967084E0
1.859043333E-1,1.401332594E0,2.057284355E-2,-2.520073932E-1,1.423960676E0
1.959203333E-1,1.768939148E0,3.814051062E-1,-1.009460387E0,2.072106618E0
2.059353333E-1,2.320019343E0,9.806108093E-1,-1.752173134E0,3.068256508E0
2.159503333E-1,2.157736596E0,3.899742007E-1,-1.695010754E0,2.771456035E0
2.259663333E-1,1.766583889E0,-2.439166009E-2,-1.868597045E0,2.571588713E0
2.359813333E-1,9.906004849E-1,6.513669598E-1,-1.747129326E0,2.111404537E0
2.459973333E-1,7.894568512E-1,1.581437945E-1,-1.594415256E0,1.786172329E0
2.560123333E-1,1.125588721E0,3.754643351E-1,-1.296599606E0,1.757581854E0
2.660273333E-1,1.560400541E0,5.340279597E-1,-8.744300508E-1,1.866725374E0
2.760433333E-1,1.915682918E0,5.061595452E-1,-3.383386087E-1,2.010102371E0
2.860583333E-1,2.172701814E0,5.711279583E-1,2.751956964E-1,2.263305766E0
2.960733333E-1,2.268020931E0,5.609853780E-1,6.595858061E-1,2.427689637E0
3.060893333E-1,2.152839261E0,3.065724403E-1,8.817934495E-1,2.346542826E0
3.161043333E-1,1.636241120E0,-5.506100786E-1,9.268702197E-1,1.959475661E0
3.261203333E-1,-4.385555727E-1,-3.009466587E0,-7.248208523E-2,3.042116661E0
3.361353333E-1,2.470518780E0,1.136532662E0,-1.746297267E0,3.231829772E0
3.461503333E-1,3.162402851E0,-6.958163238E-1,-3.986739221E0,5.136053131E0
3.561663333E-1,-5.614594410E-1,-4.434019643E0,-4.189159302E0,6.125750775E0
3.661813333E-1,-2.395268038E0,-5.470796467E0,-2.450265194E0,6.455286398E0
3.761963333E-1,-2.866082334E0,-2.664705981E0,5.708047242E0,6.920757851E0
3.862123333E-1,-3.101702028E0,5.724517679E-1,5.210611158E0,6.090872281E0
3.962273333E-1,-2.654279226E0,9.002566177E-1,2.670851405E0,3.871576864E0
4.062433333E-1,-1.995537758E0,1.817437416E-1,3.210343587E-1,2.029350830E0
4.162583333E-1,-1.224538374E0,2.467981088E-1,-7.876006526E-1,1.476725541E0
4.262733333E-1,-1.219587975E0,1.455722809E-2,-5.022477579E-1,1.319037358E0
4.362893333E-1,-1.399792875E0,-2.971151537E-1,-4.169941843E-2,1.431585258E0
4.463043333E-1,-7.294202721E-1,-3.756099308E-1,-8.877008915E-2,8.252374702E-1
4.563193333E-1,5.234110241E-1,-1.300105011E-1,-4.715083605E-1,7.163671995E-1
4.663353333E-1,1.275101148E0,5.517344981E-1,-7.839625150E-1,1.595271487E0
4.763503333E-1,1.890843069E0,4.982365680E-1,-7.773493141E-1,2.104233624E0
4.863663333E-1,1.599759903E0,4.009312981E-1,-2.122205991E-1,1.662833496E0
4.963813333E-1,8.078258792E-1,3.231995827E-1,1.009465064E0,1.332689138E0
5.063963333E-1,2.251996636E-1,1.003610247E-1,2.865915104E0,2.876500757E0
5.164123333E-1,1.274591271E0,-2.496831250E-1,2.550353739E0,2.862032278E0
5.264273333E-1,1.829688503E0,-1.000230557E-1,1.234448966E0,2.209440852E0
5.364423333E-1,2.184571223E0,8.642243207E-1,2.753176108E0,3.619283601E0
5.464583333E-1,2.503252955E0,1.287284699E0,2.227773961E0,3.589756826E0
5.564733333E-1,1.570780518E0,9.472840190E-2,-5.231673414E-1,1.658321131E0
