"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.492362499E-2,-1.258148900E0,8.456173110E-1,-1.551079202E0,2.168837011E0
2.485962497E-2,-1.547169461E0,8.455646861E-1,-1.351860471E0,2.221765000E0
3.479462501E-2,-1.678937343E0,7.005052060E-1,-9.113850385E-1,2.034738517E0
4.473062500E-2,-1.556231183E0,5.568376556E-1,-3.100491947E-1,1.681681948E0
5.466562498E-2,-1.300861056E0,4.473856723E-1,2.072943199E-1,1.391173736E0
6.460162502E-2,-9.635644215E-1,3.151976681E-1,4.357526368E-1,1.103488253E0
7.453762501E-2,-7.926292580E-1,1.829593778E-1,6.082753193E-1,1.015743146E0
8.447262499E-2,-6.556386432E-1,6.438866168E-2,9.196261042E-1,1.131247144E0
9.440862498E-2,-6.744365644E-1,-1.162251055E-2,9.534814829E-1,1.167958347E0
1.043436250E-1,-1.037177358E0,-2.490679979E-2,9.357813764E-1,1.397155684E0
1.142796250E-1,-1.435188849E0,1.679905057E-3,1.425513754E0,2.022834476E0
1.242146250E-1,-1.746052415E0,-1.206877005E-1,1.959659827E0,2.627457173E0
1.341506250E-1,-2.034622009E0,-3.396574482E-1,2.392473069E0,3.158952562E0
1.440856250E-1,-2.056466622E0,-6.786623472E-1,2.330697235E0,3.181475625E0
1.540216250E-1,-1.801853710E0,-1.210513389E0,1.631369659E0,2.715398022E0
1.639566250E-1,-1.749409301E0,-1.530064893E0,5.050357103E-1,2.378359214E0
1.738926250E-1,-1.793792153E0,-1.538073825E0,-6.567423052E-1,2.452482790E0
1.838276250E-1,-1.665030471E0,-1.380378804E0,-1.581688206E0,2.679460710E0
1.937636250E-1,-1.445624667E0,-1.268340597E0,-2.015808300E0,2.786036908E0
2.036986250E-1,-1.112393090E0,-1.194851329E0,-1.827331490E0,2.450352721E0
2.136346250E-1,-5.480959951E-1,-1.105477223E0,-1.328559317E0,1.813162698E0
2.235696250E-1,-4.935174264E-2,-1.170552640E0,-9.075065804E-1,1.481957243E0
