"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.331579167E-2,-1.524208322E-1,-1.455898225E-1,-1.939067103E0,1.950489615E0
2.335679167E-2,-5.087255958E-1,-2.104699427E-1,-1.499390985E0,1.597270376E0
3.339679167E-2,-7.168075356E-1,-7.150469390E-1,-1.499620196E0,1.809410373E0
4.343779167E-2,-7.227930379E-1,-3.513390157E-1,-1.801787928E0,1.972893463E0
5.347879167E-2,-4.500876707E-1,1.702650726E-1,-1.311053338E0,1.396577947E0
6.351879166E-2,2.257767838E-1,-2.771667928E-2,-1.384615989E0,1.403176684E0
7.355979166E-2,8.119850037E-1,-3.726664424E-1,-1.320198383E0,1.594090240E0
8.360079167E-2,9.866322720E-1,-2.254388148E-1,-4.236471462E-1,1.097152133E0
9.364079167E-2,8.803901178E-1,-1.622643274E-1,5.540833247E-1,1.052817554E0
1.036817917E-1,5.229220507E-1,-1.739754233E-1,1.203089764E0,1.323306426E0
1.137227917E-1,2.855724576E-1,-5.713440129E-1,1.027585001E0,1.209924189E0
1.237627917E-1,-4.204683074E-1,-2.339973843E-1,1.078087403E0,1.180601889E0
1.338037917E-1,-1.427789052E0,6.194929102E-1,1.946297770E0,2.492073043E0
1.438447917E-1,-1.230277270E0,1.129815965E0,1.937985953E0,2.558487020E0
1.538847917E-1,-1.104927511E0,9.260820150E-2,2.184658347E0,2.449933300E0
1.639257917E-1,-5.229734331E-1,-8.191472581E-1,1.924145594E0,2.155652966E0
1.739657917E-1,1.255634744E0,-4.874221426E-1,-9.912878251E-1,1.672378697E0
1.840067917E-1,3.402282242E0,-4.872701150E-1,-3.678990905E0,5.034672849E0
1.940477917E-1,4.585460190E0,-1.575125876E-1,-3.391478049E0,5.705556829E0
2.040872917E-1,4.187045825E0,3.492863506E-1,-1.003977453E0,4.319875510E0
2.141282917E-1,3.253836055E0,4.088335177E-1,1.183427916E0,3.486415860E0
2.241692917E-1,2.962512568E0,3.948042932E-1,7.630423468E-1,3.084572056E0
2.342092917E-1,9.472797067E-1,2.217457134E-1,1.173674176E0,1.524474032E0
2.442502917E-1,-8.719251037E-1,8.133001886E-1,2.676240783E0,2.929842199E0
2.542912917E-1,-2.979346117E0,9.117639381E-1,2.151858975E0,3.786596600E0
2.643312917E-1,-3.978337649E0,-1.309959763E0,-1.861298550E0,4.583404556E0
2.743722917E-1,-3.023063994E0,-1.675616270E0,-4.061405826E0,5.333068824E0
2.844132917E-1,-8.018348951E-1,1.951650019E-1,-2.583096977E0,2.711718748E0
2.944532917E-1,2.436804027E0,1.233300865E0,-1.987739326E0,3.377891727E0
3.044942917E-1,4.935773896E0,1.118669272E0,-7.398844492E-1,5.114754529E0
3.145342917E-1,5.796555376E0,-2.026548320E0,-8.008416724E-1,6.192600399E0
3.245752917E-1,6.469179304E0,-4.025631976E0,-3.736038095E0,8.486104779E0
3.346162917E-1,3.860066310E0,-2.581975773E0,-9.982951283E-3,4.644008018E0
3.446562917E-1,-1.818389051E0,-7.875351638E-2,4.443606153E0,4.801913837E0
3.546972917E-1,-3.481846182E0,9.038774329E-1,4.372285910E0,5.661901741E0
3.647382917E-1,-2.434677979E0,2.526521949E-1,1.160428478E0,2.708889855E0
3.747782917E-1,-3.194490324E0,4.246334253E-1,-4.539556038E-1,3.254405885E0
3.848192917E-1,-2.534976731E0,3.618128407E-1,-1.681163378E0,3.063221484E0
3.948602917E-1,-2.054236202E0,-2.464243256E-2,-2.790853227E0,3.465451681E0
4.049002917E-1,-2.129196775E0,-3.397141662E-1,-3.470412537E0,4.085663691E0
4.149412917E-1,-2.820444523E0,-1.028449146E0,-3.262444033E0,4.433526365E0
4.249822917E-1,-2.233388603E0,-1.776329151E0,-2.281782353E0,3.653751581E0
4.350222917E-1,-1.469166873E0,-2.186074835E0,-4.467313689E-1,2.671505830E0
4.450632917E-1,2.170217478E0,-2.910985442E0,3.164416047E0,4.816348105E0
4.551032917E-1,1.365535589E1,-2.418159741E0,2.878771377E1,3.195385274E1
4.651442917E-1,6.533236721E0,-2.355649351E0,6.068242158E0,9.222571702E0
4.751852917E-1,-1.482147692E0,1.081343571E0,-1.615955814E1,1.626337557E1
4.852252917E-1,5.560395691E0,-2.048276573E0,-1.595528098E1,1.702011834E1
4.952662917E-1,6.697117803E0,-2.545982068E0,-9.189555455E0,1.165252509E1
