"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.120404168E-2,-7.574392524E-1,1.337535962E-1,4.109306216E-2,7.702550781E-1
4.124604167E-2,-8.440245295E-1,6.306549525E-1,1.524088454E-1,1.064580449E0
5.128904167E-2,-6.896109661E-1,6.370196468E-1,9.486522675E-3,9.388542534E-1
6.133104167E-2,-5.613528755E-1,4.986028960E-1,-2.637398314E-1,7.957892921E-1
7.137304168E-2,-1.711944875E-1,4.180595469E-1,-5.995600444E-1,7.507020609E-1
8.141504167E-2,1.715652010E-1,2.177000248E-1,-7.774990028E-1,8.254287482E-1
9.145804167E-2,3.726892465E-1,-3.474064708E-2,-7.617717469E-1,8.487640316E-1
1.015000417E-1,5.936096254E-1,-2.521831021E-1,-5.543932271E-1,8.504825422E-1
1.115420417E-1,6.681408674E-1,-4.238044363E-1,6.869776726E-2,7.941925472E-1
1.215840417E-1,4.938532028E-1,-6.660776773E-1,8.588489753E-1,1.193805688E0
1.316260417E-1,3.380833778E-1,-5.952243340E-1,1.385411210E0,1.545301459E0
1.416690417E-1,2.531148559E-1,-3.242126128E-1,1.618848431E0,1.670284764E0
1.517110417E-1,-1.865577543E-1,-2.490153730E-2,1.373807411E0,1.386640070E0
1.617530417E-1,-6.647942135E-1,3.353267080E-1,7.643357509E-1,1.067054116E0
1.717944583E-1,-5.317915459E-1,5.199975657E-1,2.359743279E-1,7.803099385E-1
1.818374583E-1,-3.099856062E-1,4.564804316E-1,-4.195733911E-1,6.931863321E-1
1.918794583E-1,3.549552262E-3,9.094028324E-2,-5.419854355E-1,5.495734225E-1
2.019214583E-1,2.727018589E-1,-1.592120808E-1,-3.381286937E-1,4.626508446E-1
2.119634583E-1,3.133633965E-1,-3.329542002E-1,-7.795800269E-2,4.638238544E-1
2.220054583E-1,9.534572169E-2,-3.566930187E-1,1.027121902E-2,3.693591940E-1
2.320484583E-1,-2.600439526E-1,-2.954653618E-1,-1.674741966E-1,4.277502119E-1
