Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.01331579167,-0.1524208322,-0.1455898225,-1.939067103,1.950489615
0.02335679167,-0.5087255958,-0.2104699427,-1.499390985,1.597270376
0.03339679167,-0.7168075356,-0.715046939,-1.499620196,1.809410373
0.04343779167,-0.7227930379,-0.3513390157,-1.801787928,1.972893463
0.05347879167,-0.4500876707,0.1702650726,-1.311053338,1.396577947
0.06351879166,0.2257767838,-0.02771667928,-1.384615989,1.403176684
0.07355979166,0.8119850037,-0.3726664424,-1.320198383,1.59409024
0.08360079167,0.986632272,-0.2254388148,-0.4236471462,1.097152133
0.09364079167,0.8803901178,-0.1622643274,0.5540833247,1.052817554
0.1036817917,0.5229220507,-0.1739754233,1.203089764,1.323306426
0.1137227917,0.2855724576,-0.5713440129,1.027585001,1.209924189
0.1237627917,-0.4204683074,-0.2339973843,1.078087403,1.180601889
0.1338037917,-1.427789052,0.6194929102,1.94629777,2.492073043
0.1438447917,-1.23027727,1.129815965,1.937985953,2.55848702
0.1538847917,-1.104927511,0.0926082015,2.184658347,2.4499333
0.1639257917,-0.5229734331,-0.8191472581,1.924145594,2.155652966
0.1739657917,1.255634744,-0.4874221426,-0.9912878251,1.672378697
0.1840067917,3.402282242,-0.487270115,-3.678990905,5.034672849
0.1940477917,4.58546019,-0.1575125876,-3.391478049,5.705556829
0.2040872917,4.187045825,0.3492863506,-1.003977453,4.31987551
0.2141282917,3.253836055,0.4088335177,1.183427916,3.48641586
0.2241692917,2.962512568,0.3948042932,0.7630423468,3.084572056
0.2342092917,0.9472797067,0.2217457134,1.173674176,1.524474032
0.2442502917,-0.8719251037,0.8133001886,2.676240783,2.929842199
0.2542912917,-2.979346117,0.9117639381,2.151858975,3.7865966
0.2643312917,-3.978337649,-1.309959763,-1.86129855,4.583404556
0.2743722917,-3.023063994,-1.67561627,-4.061405826,5.333068824
0.2844132917,-0.8018348951,0.1951650019,-2.583096977,2.711718748
0.2944532917,2.436804027,1.233300865,-1.987739326,3.377891727
0.3044942917,4.935773896,1.118669272,-0.7398844492,5.114754529
0.3145342917,5.796555376,-2.02654832,-0.8008416724,6.192600399
0.3245752917,6.469179304,-4.025631976,-3.736038095,8.486104779
0.3346162917,3.86006631,-2.581975773,-0.009982951283,4.644008018
0.3446562917,-1.818389051,-0.07875351638,4.443606153,4.801913837
0.3546972917,-3.481846182,0.9038774329,4.37228591,5.661901741
0.3647382917,-2.434677979,0.2526521949,1.160428478,2.708889855
0.3747782917,-3.194490324,0.4246334253,-0.4539556038,3.254405885
0.3848192917,-2.534976731,0.3618128407,-1.681163378,3.063221484
0.3948602917,-2.054236202,-0.02464243256,-2.790853227,3.465451681
0.4049002917,-2.129196775,-0.3397141662,-3.470412537,4.085663691
0.4149412917,-2.820444523,-1.028449146,-3.262444033,4.433526365
0.4249822917,-2.233388603,-1.776329151,-2.281782353,3.653751581
0.4350222917,-1.469166873,-2.186074835,-0.4467313689,2.67150583
0.4450632917,2.170217478,-2.910985442,3.164416047,4.816348105
0.4551032917,13.65535589,-2.418159741,28.78771377,31.95385274
0.4651442917,6.533236721,-2.355649351,6.068242158,9.222571702
0.4751852917,-1.482147692,1.081343571,-16.15955814,16.26337557
0.4852252917,5.560395691,-2.048276573,-15.95528098,17.02011834
0.4952662917,6.697117803,-2.545982068,-9.189555455,11.65252509
0.5053072917,3.951394264,-3.017334015,-4.999334884,7.0506149
0.5153472917,3.830271238,-4.235661623,-1.169822615,5.829261711
0.5253882917,2.215763341,-4.340903319,0.1575011855,4.876254242
0.5354292917,1.925949606,-4.108176242,-0.7368398041,4.596664749
0.5454692917,0.07019692026,-3.297616497,-1.714762064,3.717473753
0.5555102917,-0.7628806713,-2.884104622,-2.796002285,4.088725372
0.5655502917,-1.278276917,-2.451184376,-4.051252136,4.904583631
0.5755912917,-1.086948712,-2.626870987,-5.881372163,6.532415113
0.5856322917,-0.007080685794,-3.78975705,-7.972905999,8.82777088
0.5956722917,-1.687482902,-4.904345697,-8.001734526,9.53561538
0.6057132917,-1.765107467,-5.302770293,-10.43746237,11.83957761
0.6157542917,-1.742338117,-5.37990033,-11.67100853,12.96886694
0.6257942917,-3.076853408,-7.215413244,-12.15256767,14.46423576
0.6358352917,-4.101053164,-8.647382909,-12.01668305,15.36217888
0.6458762917,-5.325407789,-10.6293142,-11.19434468,16.32959403
0.6559162917,-6.724922483,-12.01228478,-10.54391444,17.3405219
0.6659572917,-6.709202244,-13.1153164,-8.990078278,17.25822779
0.6759982917,-5.910692441,-13.59346428,-7.117925541,16.44333969
0.6860382917,-5.130396715,-13.73623925,-4.288722181,15.27738123
0.6960792917,-4.217463918,-13.67010022,-1.518292694,14.38623838
0.7061192917,-2.723775723,-14.20474857,0.5954354185,14.47578597
0.7161602917,0.1897515035,-15.26297298,2.626733578,15.48851443
0.7262012917,2.389733648,-14.35999215,5.388881654,15.52289428
0.7362412917,4.765518764,-12.98936738,8.610471776,16.29644311
0.7462822917,7.59119216,-9.603444768,14.57027089,19.0301115
0.7563232917,8.252080725,-6.400743492,18.69241525,21.41197659
0.7663632917,8.048565461,-4.284812733,18.12813789,20.29207751
0.7764042917,8.988397788,-2.318441471,16.87629814,19.26073478
0.7864452917,11.52632269,-1.606319602,15.47678929,19.36407457
0.7964852917,13.93360851,-0.1979691803,15.19512189,20.61738022
0.8065262917,13.75472347,1.750487382,15.30724693,20.65353317
0.8165672917,13.30431829,2.44527518,15.45367992,20.53778175
0.8266072917,12.40532175,1.901222169,14.80767252,19.41066251
0.8366482917,11.23414083,0.6359016591,14.2524104,18.15878556
0.8466882917,11.39072459,-0.9852640235,16.27284794,19.88780862
0.8567292917,12.18537055,-2.184233254,18.50782918,22.26642924
0.8667702917,11.92918649,-2.894168265,19.54307988,23.07842437
0.8768102917,11.98927598,-3.221063288,18.79807561,22.5274418
0.8868512917,11.43945762,-3.326297967,16.42671157,20.29192701
0.8968922917,10.7575027,-3.499042844,12.0325945,16.51515957
0.9069322917,12.33760865,-2.432429432,6.09008911,13.97220404
0.9169732917,15.33838803,0.6874097818,0.05308570147,15.35387566
0.9270142917,16.44169915,4.609547794,-8.245616044,18.96226742
0.9370542917,15.48509467,5.876585047,-12.24089805,20.59519346
0.9470952917,15.20421314,3.592272604,-6.154367552,16.7913299
0.9571352917,15.25268188,3.198705289,-6.716667384,16.97025754
0.9671762917,10.4639374,2.756524224,-3.181691938,11.27898822
0.9772172917,7.073974945,-0.1042131704,-2.987304178,7.679581249
0.9872572917,4.533182573,-0.9926671833,-5.00000556,6.821670468
0.9972982917,2.921874419,-1.690025418,-2.448495827,4.169972164
1.007339292,4.244418121,0.06833933294,0.6150955117,4.289300402
1.017379292,4.697991317,4.814354124,3.443449271,7.556882355
1.027420292,1.597807226,7.730614339,0.6495777118,7.920690449
1.037461292,4.096052917,7.778795396,0.9497521287,8.842473433
1.047501292,5.616043058,7.691032782,5.318865339,10.90789867
1.057542292,-2.629264253,10.55234145,-2.778575828,11.22432288
1.067583292,-7.70177821,7.848795923,-2.059045537,11.18752223
1.077623292,-6.25034258,2.972631467,-1.608964882,7.105778508
1.087664292,-10.07355857,3.603192279,-7.095956383,12.83791937
1.097704292,-14.03316086,4.037579007,-10.78937354,18.15605214
1.107745292,-8.819067101,3.987444395,-7.963758615,12.53383854
1.117786292,-5.158307814,4.646630836,-7.165647007,9.977264889
1.127826292,-4.422952033,4.930027837,-6.134592853,9.027785367
1.137867292,-2.02869264,4.080329754,-4.016095167,6.074018861
1.147908292,-0.7980472881,1.402007947,-2.214076858,2.739460182
1.157948292,0.09179046839,-2.015435248,-0.4623510361,2.069824439
1.167989292,1.518354675,-3.526604279,1.966169533,4.313717804
1.178030292,3.622769634,-3.305100056,3.584737297,6.074412539
1.188070292,6.611585317,-2.572860256,3.701666992,8.002187753
1.198111292,7.480120205,-1.80705627,3.441544248,8.429820725
1.208151,6.966628252,-1.493023952,3.121785167,7.778725625
1.218192,6.536159159,-2.225379526,3.599555896,7.786558497
1.228233,5.051706641,-3.005457151,3.225721765,6.705057313
1.238273,2.736866469,-3.272943878,1.62663049,4.566018665
1.248314,-0.2246342379,-2.851512827,1.238544356,3.116982204
1.258355,-1.143790226,-1.527398563,-0.07191256642,1.90954808
1.268395,-0.325212779,-0.2618681377,-1.721555943,1.771466381
1.278436,-1.620668962,1.04343271,-2.038711259,2.805648464
1.288477,-2.267964359,1.547546899,-1.718646954,3.239183707
1.298517,-4.033689731,2.168121836,-0.7429518986,4.63932998
1.308558,-4.390408477,3.362441946,-1.835567293,5.826749499
1.318598,-3.272640992,5.073385193,-1.501949142,6.221355769
1.328639,-2.91896923,6.897554508,-2.241795584,7.818074379
1.33868,-2.541294647,6.778273648,-2.00215359,7.510778331
1.34872,-3.239236434,6.378083192,1.139217703,7.243646517
1.358761,-3.163636613,6.316481021,1.253842134,7.174862313
1.368802,-4.34157838,6.77138095,-3.912832169,8.944895661
1.378842,-3.741450278,5.254692147,-3.805160955,7.489291665
1.388883,-1.822688655,3.74354709,-6.445226769,7.673153645
1.398924,-1.206134555,3.268753179,-9.080621828,9.726109227
1.408964,-0.009159078598,0.683982144,-4.591733083,4.642405429
1.419005,-1.664426161,-1.810212012,-0.9308401868,2.629381187
1.429045,-0.743098956,0.5094866109,-1.748054355,1.966587576
1.439086,1.856918109,4.623249575,-3.187015536,5.914359604
1.449127,0.2425550768,-0.02516641617,1.778566296,1.795205945
1.459167,-1.560117681,-5.580437608,4.174598273,7.141604989
1.469208,-1.977852854,1.212880341,-1.020606349,2.534683009
1.479249,1.207512597,7.773781993,2.630016789,8.294984115
1.489289,1.698234762,-5.648215608,2.41951571,6.374982128
1.49933,0.007824013084,-5.818036292,1.760211155,6.078482609
1.509371,1.251540816,-2.124808586,-1.061190996,2.684640064
1.519411,0.814217032,-1.022321337,0.5631770606,1.42311584
1.529452,0.7554881828,-1.617694191,0.05623983577,1.786297794
1.539493,-0.2057054852,-2.784676228,-1.04394858,2.98103423
1.549533,2.234563455,-1.872119408,1.793500085,3.422681327
1.559574,3.120155548,0.003524116874,2.652771814,4.095434209
1.569614,3.654260691,-1.302385426,3.274749498,5.076791632
1.579655,5.742158729,0.3585863471,3.482448446,6.725207671
1.589696,5.793420099,-0.0885356158,2.936739503,6.495844357
1.599736,7.380662575,6.418621354,5.544057401,11.24319584
1.609777,10.80057096,-2.087019201,-1.975695232,11.1763748
1.619818,5.755386885,-4.742523419,0.6016222843,7.481841748
1.629858,2.545081889,-4.303379397,0.7948190403,5.062435517
1.639899,-0.2599341529,-4.655144382,0.3711426945,4.677144629
1.649939,-0.9465955094,-4.789178352,-1.234434932,5.035484282
1.65998,-0.8613033441,-5.890524809,-1.87412091,6.241190204
1.670021,-1.305976201,-8.192677692,-2.161195225,8.572998682
1.680061,-2.070018714,-7.190664319,-1.436738069,7.619373144
1.690102,-1.983543364,-4.987460359,-0.9146027613,5.444786802
1.700143,-1.276519682,-2.989509455,-1.072365317,3.422957297
1.710183,-2.163061948,0.4047466063,-0.6405239562,2.291926645
1.720224,-1.221637132,1.829145296,-0.2984045378,2.219733106
1.730265,-0.8585346875,0.5734773695,-0.09685094118,1.036985153
1.740305,-0.2081304352,1.30813967,0.1244862711,1.330430196
1.750346,1.447878769,3.621393492,0.5700941706,3.941554404
1.760387,1.057315534,5.836464377,1.417388609,6.09846071
1.770427,2.599346682,7.025986846,2.458272371,7.884427524
1.780468,3.330398619,7.786352338,2.522758974,8.836467084
1.790508,2.797772529,8.290494593,1.620714862,8.898682397
1.800549,2.332371732,8.553605264,0.4421759494,8.876916159
1.81059,1.568340182,7.916161695,0.756248467,8.105382079
1.82063,-0.2233042156,5.030256715,2.4574561,5.60289549
1.830671,0.4323492649,4.689740603,1.202238994,4.86065545
1.840712,0.3199994016,5.712054339,0.3795815058,5.733589322
1.850752,-0.3450673287,6.478472283,0.8281763823,6.540302035
1.860793,-0.9095493782,6.739469186,2.055266189,7.104353882
1.870833,-1.72903921,5.852126729,4.515488899,7.591218864
1.880874,-2.532592821,3.952771575,8.047389586,9.31659319
1.890915,-3.447067528,2.842147926,8.574141855,9.668298089
1.900955,-3.528268982,3.095220682,5.067488276,6.907134753
1.910996,-2.720968475,3.04152804,1.472241193,4.338439395
1.921037,-1.934861493,2.169349751,-3.114779034,4.260471309
1.931077,-0.987667083,2.798885547,-2.167050042,3.674962919
1.941118,-0.7522229514,-8.470555506,-4.873571216,9.801420629
1.951159,1.350590018,-28.74657977,-4.725441363,29.16367155
1.961199,1.10028855,-30.8781916,4.137316718,31.17355836
1.97124,3.949022341,-27.3781863,4.654077265,28.05031725
1.98128,4.693426395,-11.2482256,-0.9313831007,12.22367805
1.991321,1.466183916,-1.214754374,-4.244376898,4.651887651
2.001362,0.06920581721,2.835310192,-4.900595877,5.662120917
2.011402,-0.4045033622,4.115282655,-3.962886089,5.727446242
2.021443,-0.7100493237,4.165593853,-2.124808002,4.729815137
2.031484,-0.03025641739,3.986092519,-0.1733027011,3.989972787
2.041524,0.8181435104,3.590942363,1.272423123,3.896573682
2.051565,0.6344940881,2.932778599,2.176776885,3.707037991
2.061606,0.6523033183,2.385340635,2.13064937,3.264202246
2.071646,1.416626863,1.854699383,1.64694898,2.856428261
2.081687,2.021718081,1.472817729,0.9015014899,2.65880443
2.091727,1.184650861,2.176804367,-0.1935673964,2.485828484
2.101768,0.3727436256,0.7720441353,-0.8191083741,1.185718553
2.111809,0.444179644,0.112370621,-0.8458511996,0.9619703553
2.121849,-0.5030133046,1.228176073,-0.6786132306,1.490622275
2.13189,-2.158206274,1.815347037,-0.5906926688,2.881363742
2.141931,-2.867775688,-0.3345238853,-0.7945073106,2.994542618
