Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.004628041672,0.1417534826,-0.0183047086,-0.05493137509,0.1531227225
0.01464204167,0.003557446003,-0.1031647646,-0.08771525145,0.1354606564
0.02465704168,0.02568974197,-0.1062333834,-0.00251781106,0.1093244436
0.03467204167,-0.005775879622,-0.006653546691,0.1136640251,0.1140050046
0.04468704168,-0.003448687792,0.08049803317,0.2253475982,0.2393185467
0.05470204167,0.03167497018,0.09874193072,0.2295894608,0.2519217996
0.06471704168,0.08682239989,0.04481773853,0.04615879744,0.1080619886
0.07473204167,0.01367227027,-0.06356157303,-0.03495494753,0.07381634573
0.08474704168,-0.119758852,-0.03356594145,0.1030025044,0.1614879902
0.09476104168,-0.02876652857,0.1193252993,0.1104191127,0.1651012437
0.1047760417,-0.01868505171,-0.03729178727,-0.03228510886,0.05274596486
0.1147910417,-0.01462328335,-0.09543123722,0.04740016133,0.1075534135
0.1248060417,0.07563696871,-0.09617617249,0.1597029546,0.2011860852
0.1348210417,0.10733266,-0.0403212297,0.2108424103,0.2400012989
0.1448360417,0.1434786853,-0.01331586421,0.1190042871,0.186883562
0.1548510417,0.1058196929,-0.0100104332,0.05479776621,0.1195859999
0.1648660417,0.04822608054,-0.01397835374,0.1540273547,0.1620048617
0.1748800417,-0.03419976136,-0.02920157969,0.05785088986,0.0732740158
0.1848950417,0.01263290942,0.04479084134,-0.008735740185,0.0473510615
0.1949100417,0.05671974599,0.05910891831,0.07611203671,0.1118214467
0.2049250417,0.01279516965,-0.004977734685,0.0751899308,0.07643310737
0.2149400417,-0.02096429637,-0.02428407133,-0.0354531303,0.04781362035
0.2249550417,0.03006640116,-0.03553411424,-0.05583535463,0.0726928372
0.2349700417,0.07509551654,-0.01402045369,-0.06227372378,0.09855925324
0.2449850417,0.04056973636,-0.0207260406,0.01650142729,0.04845378592
0.2549990417,0.1894889635,0.005321550965,0.3621701056,0.408780591
0.2650140417,0.01774777958,0.00119926393,0.5026482922,0.5029629485
0.2750290417,-0.04146523744,0.03191761136,0.2676358312,0.272703205
0.2850440417,0.04712828407,0.09522249162,0.2304571876,0.2537694099
0.2950590417,-0.03157611569,0.1091569912,0.2782458964,0.3005546185
0.3050740417,-0.09920095542,0.1659100664,0.6211011869,0.6504872512
0.3150890417,0.05313891113,0.1592723072,1.212634174,1.224203027
0.3251040417,-0.02816309592,0.1621473831,1.758242252,1.76592773
0.3351180417,-0.09103937527,0.5512795848,2.12364996,2.195924977
0.3451330417,0.1375867567,0.5228732264,2.385262575,2.445772695
0.3551480417,-0.3604311436,-0.1671789122,1.896406403,1.937580099
0.3651630417,-1.822734994,-2.297734727,-2.125229878,3.62195386
0.3751780417,0.01621199012,-0.4686052179,-1.579792539,1.647907202
0.3851930417,-1.124752569,-1.267618466,3.075894757,3.511844739
0.3952080417,-2.270150194,-3.150023711,8.832089435,9.647903144
0.4052230417,0.09311368416,-2.607169379,1.204110395,2.873305444
0.4152370417,1.56374047,-2.490816804,-4.398030031,5.290758052
0.4252520417,2.274570105,-1.316177253,-3.963593602,4.75563518
0.4352670417,0.2781859624,-0.7530243123,-0.146209335,0.8159719445
0.4452820417,-1.447121555,-1.414731488,3.131315252,3.728372458
0.4552970417,0.2675992861,-1.707832528,2.907264858,3.382379381
0.4653120417,1.784903508,-3.434351004,0.3692236018,3.888055223
0.4753270417,1.229388785,-5.767069037,-1.80886189,6.167857278
0.4853410417,3.606231662,-5.201933305,-0.2225181305,6.333603337
0.4953560417,3.488528088,-5.788427746,1.155118622,6.856385566
0.5053710417,2.549529866,-6.005343075,-1.261288855,6.644930215
0.5153860417,0.3914661178,-4.774555635,-1.401132619,4.991272368
0.5254010417,0.7962438606,-6.339523728,1.169326625,6.495451497
0.5354160417,-0.4751384582,-15.60181095,2.654655787,15.83317589
0.5454310417,-0.1077720051,-12.42568409,3.750080768,12.97968974
0.5554450417,2.881837949,-0.9812621891,-0.8572228646,3.162703983
0.5654600417,-1.93187152,6.772579629,-2.671384671,7.532347474
0.5754750417,-0.2431764165,21.5578655,-1.299001057,21.59833566
0.5854900417,3.459456609,20.10785425,-7.031459255,21.58089576
0.5955050417,-0.2689108166,8.043987091,-3.204111625,8.662815516
0.6055200417,-3.127955149,0.6394094038,2.615263095,4.127050867
0.6155350417,-2.529337091,-1.867215348,2.567926376,4.059345409
0.6255500417,-0.5987665042,-2.657385267,0.493549513,2.768358522
0.6355640417,1.096265446,-2.673030662,-0.5696954636,2.944731527
0.6455790417,1.416104999,-3.399508615,-1.195966174,3.871995259
0.6555940417,1.871944137,-3.38198451,-2.565089307,4.639146175
0.6656090417,1.951066613,-2.653221465,-3.469077033,4.783381704
0.6756240417,1.327795086,-1.618584137,-3.758967952,4.302638081
0.6856390417,-0.1861130735,-0.7107331556,-3.339797434,3.419652993
0.6956540417,-2.087227654,-0.0006882172823,-1.786195743,2.7471831
0.7056680417,-3.845366702,0.8466417432,-1.336176485,4.158006123
0.7156830417,-4.073163992,2.829141964,-2.811914313,5.701014932
0.7256980417,-2.803147582,6.595939338,-4.304204439,8.360037558
0.7357130417,-2.968542509,11.61183821,-4.827904462,12.92113357
0.7457280417,-2.516010702,15.82092717,-5.163637551,16.83137543
0.7557430417,-2.41088522,17.9493698,-4.388922408,18.63477619
0.7657580417,-2.380847635,17.84396789,-3.157771271,18.27695666
0.7757720417,-2.376402581,16.06799775,-1.963880932,16.36107177
0.7857870417,-2.326164766,14.11888572,-0.9249125719,14.33908783
0.7958020417,-2.066362157,12.17394275,-0.07851173401,12.34831562
0.8058170417,-1.344591067,10.06526254,0.7101432446,10.17947634
0.8158320417,-0.4697137038,7.936459134,1.147958267,8.032796695
0.825847,0.3361051916,5.804888243,1.7639332,6.076278018
0.835862,0.7773106494,3.48920198,2.604508896,4.422918594
0.845877,1.014520055,0.8276833159,2.605243306,2.915750898
0.855891,1.008647916,-1.97974092,2.028870395,3.008830306
0.865906,0.8157585043,-4.655522697,1.548474852,4.973643321
0.875921,0.4044995615,-7.104841812,1.519961489,7.276859212
0.885936,-0.1993771168,-8.963387493,1.507825009,9.091512682
0.895951,-0.8293461909,-10.06917783,1.399128778,10.19969209
0.905966,-1.305386217,-11.10825963,1.835373166,11.33428691
0.915981,-1.217793099,-12.4294076,2.154407777,12.67338417
0.925995,-0.4953234851,-13.11539593,1.909740393,13.26295834
0.93601,0.3538849299,-13.02670302,1.212338305,13.08778019
0.946025,1.075855009,-12.00143819,0.9046028531,12.08347173
0.95604,1.451086844,-10.37165313,0.9859294367,10.51897802
0.966055,1.381679517,-8.958088746,1.286889135,9.154915396
0.97607,1.331513184,-7.969350892,1.218559815,8.171191407
0.986085,1.202590704,-7.428172372,0.5725371738,7.546639517
0.996099,0.9002800065,-7.465854169,0.1458330667,7.521352926
1.006114,0.6173510751,-7.875776145,0.02757429957,7.899983075
1.016129,0.4338329228,-8.573182912,0.03826527558,8.584237909
1.026144,0.1984793499,-9.320827201,-0.04903241158,9.323069127
1.036159,0.1300542822,-9.811734284,-0.59712943,9.830748056
1.046174,-0.00653733328,-10.00721723,-1.208503554,10.0799266
1.056189,-0.250017805,-9.987204548,-1.536740659,10.10783535
1.066203,-0.3986815819,-9.739551576,-1.511149735,9.864146463
1.076218,-0.5185717222,-9.377989581,-0.689108398,9.417562084
1.086233,-0.4747705952,-8.780849115,0.1716975673,8.795350951
1.096248,-0.171092819,-7.853007672,0.6443642613,7.881256724
1.106263,0.4920358881,-6.253531651,2.308840928,6.684272875
1.116278,1.871052291,-3.465779203,3.506025589,5.273014089
1.126293,2.657399593,0.2825251812,5.027973962,5.694042082
1.136307,3.385987221,5.482003241,5.715765567,8.613201786
1.146322,1.679599832,13.57979816,4.343174962,14.35601416
1.156337,-2.738703372,26.47714206,-1.78886909,26.67844824
1.166352,-5.127620457,31.18871149,-6.021552726,32.17588092
1.176367,-2.888909279,22.54165953,-6.242424281,23.56777614
1.186382,-0.489446741,17.91829769,-6.524346614,19.07543051
1.196397,-0.8642175964,18.46997898,-3.842160966,18.8851581
1.206411,-2.450175001,20.29437575,-3.418330218,20.72558868
1.216426,-4.452422585,21.80240541,-4.607307726,22.72435331
