Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
-0.00129,-3.19,2.85,6.99,8.19
0.00873,-3.22,2.86,7.16,8.36
0.0187,-3.32,3.15,7.29,8.61
0.0288,-3.13,3.44,7.41,8.75
0.0388,-2.78,3.68,7.28,8.62
0.0488,-2.53,3.8,7.01,8.36
0.0588,-2.45,3.81,7.0,8.34
0.0688,-2.57,3.86,7.33,8.68
0.0788,-2.71,3.78,7.68,8.98
0.0888,-2.6,3.55,7.65,8.83
0.0989,-2.26,3.3,7.41,8.42
0.109,-2.04,3.08,7.48,8.34
0.119,-2.14,2.76,7.85,8.59
0.129,-2.47,2.59,8.43,9.15
0.139,-3.01,2.64,8.95,9.81
0.149,-3.72,2.65,9.22,10.3
0.159,-4.36,2.37,9.48,10.7
0.169,-4.59,1.95,10.5,11.6
0.179,-4.14,1.46,12.0,12.8
0.189,-2.95,0.71,14.5,14.8
0.199,-1.41,-0.0254,17.0,17.1
0.209,0.153,-0.683,18.4,18.4
0.219,0.432,-0.759,19.6,19.6
0.229,0.134,-0.591,19.3,19.3
0.239,0.695,-1.09,17.1,17.2
0.249,1.3,-1.4,15.4,15.5
0.259,1.75,-1.3,14.2,14.4
0.269,2.08,-0.842,13.3,13.5
0.279,2.14,-0.284,12.8,13.0
0.289,2.0,-0.0109,12.6,12.7
0.299,1.9,-0.0368,12.1,12.3
0.309,1.74,0.0612,11.4,11.5
0.319,1.63,0.072,10.1,10.3
0.329,1.52,-0.0186,8.43,8.57
0.339,1.4,-0.109,6.84,6.98
0.349,1.31,-0.132,5.81,5.95
0.359,1.12,-0.257,5.1,5.23
0.369,0.847,-0.389,4.53,4.63
0.379,0.626,-0.419,3.92,3.99
0.389,0.348,-0.314,3.85,3.88
0.399,0.214,0.0509,4.47,4.48
0.409,0.575,0.292,5.15,5.19
0.419,1.04,0.515,5.61,5.73
0.429,1.21,0.265,4.75,4.91
0.439,0.765,0.665,3.24,3.4
0.449,-0.662,-0.0021,2.51,2.59
0.459,-0.563,0.0494,0.667,0.875
0.469,-0.142,1.65,-2.73,3.19
0.479,-0.135,2.89,-3.47,4.52
0.489,0.111,2.09,-1.32,2.48
0.499,-0.0524,0.986,-1.2,1.55
0.509,0.0772,0.415,-2.58,2.62
0.519,0.164,0.247,-3.59,3.6
0.529,0.19,0.0563,-4.11,4.12
0.539,-1.02,0.0744,-5.14,5.24
0.549,-5.93,1.3,-3.07,6.8
0.559,-7.13,3.61,8.99,12.0
0.57,-1.59,1.52,44.3,44.4
0.58,2.48,-3.3,15.2,15.7
0.59,5.1,-4.56,18.4,19.6
0.6,4.4,0.196,21.2,21.7
0.61,4.1,1.86,15.6,16.2
0.62,5.15,2.16,12.9,14.1
0.63,6.17,1.82,13.3,14.8
0.64,6.82,-0.133,11.1,13.0
0.65,6.39,-1.65,8.18,10.5
0.66,5.38,-2.6,7.48,9.58
0.67,5.12,-3.34,7.13,9.39
0.68,5.76,-3.34,7.44,9.99
0.69,6.52,-3.03,9.27,11.7
0.7,7.28,-2.51,10.9,13.4
0.71,7.79,-2.34,12.2,14.7
0.72,7.69,-2.26,12.8,15.1
0.73,7.56,-1.78,12.9,15.1
0.74,7.29,-0.958,12.3,14.3
0.75,6.88,0.0472,10.6,12.7
0.76,6.81,1.02,7.94,10.5
0.77,6.56,2.02,5.36,8.71
