Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.003425958334,0.1288603538,0.1550377536,-1.095930766,1.114318599
0.01336195832,0.03049849212,-0.04612663776,-1.146079996,1.147413256
0.0232969583,-0.2027788076,-0.214555977,-0.8994613963,0.9466701197
0.03323295835,-0.4989496359,-0.2707933277,-0.4873022747,0.7481599244
0.04316795833,-0.6362048373,-0.2570687431,-0.02276671886,0.6865560845
0.05310395831,-0.7223815401,-0.19576478,0.3114922875,0.8106703299
0.06303895835,-0.8218330304,-0.1646938455,0.4993773597,0.9756594386
0.07297495834,-0.7855743,-0.09473074079,0.5861488706,0.9847189409
0.08290995832,-0.6450841266,-0.03648370206,0.555013032,0.8517652591
0.09284595831,-0.3830354561,-0.06153346628,0.520685783,0.6493198078
0.1027809583,-0.239252277,-0.08854672551,0.7228596961,0.7665561395
0.1127169583,-0.2609264436,-0.03154806733,0.880719316,0.9190997787
0.1226529583,-0.4336108017,-0.08257613361,0.886733762,0.9905220391
0.1325879583,-0.4342032708,-0.2029276192,0.8477907211,0.9738897298
0.1425239583,-0.3574240668,-0.2748474947,0.8428603488,0.9558800534
0.1524589583,-0.2972138254,-0.3264050263,0.9395031291,1.038047412
0.1623949583,-0.07133953929,-0.5004567558,1.037503048,1.154105225
0.1723299584,-0.09228411958,-0.8069891426,0.9742034304,1.268392746
0.1822659583,-0.2812228601,-0.9128170216,0.8008054197,1.246439141
0.1922009583,-0.4290088968,-0.7497843701,0.5970790708,1.050108876
0.2021369583,-0.3574264057,-0.4600255984,0.3817430753,0.6964947682
0.2120719583,-0.2075504279,-0.1197351891,0.01278844535,0.2399525786
0.2220079583,0.05699237242,0.03741721004,-0.2217270023,0.2319720708
0.2319429583,0.3122224586,0.05247408271,-0.2476833773,0.4019744375
0.2418789583,0.4031143561,0.07812932611,-0.2784315455,0.4961144034
0.2518139583,0.2551030554,0.2112224793,-0.2140151095,0.3943285074
0.2617499583,-0.0538965641,0.3342224613,-0.01831523359,0.3390353094
0.2716849583,-0.3582447235,0.2747723579,0.1434643596,0.4737310979
0.2816209584,-0.6445218437,-0.04254814178,0.4532463366,0.789082374
0.2915559583,-1.021039043,-0.6476528084,0.8442490625,1.474697043
0.3014919583,-1.071022504,-1.177684196,1.267790959,2.035024124
0.3114269583,-0.4325221598,-0.6806574172,1.670277616,1.854776874
0.321363375,-6.808351725e-05,-0.7410281646,2.009145398,2.141445301
0.331299375,0.5022021496,-1.696706446,2.069751788,2.723029972
0.341234375,1.329510659,-2.534556316,2.081038669,3.538685667
0.351170375,1.385482838,-3.11741145,1.720032744,3.820514296
0.361105375,1.561502448,-3.813907805,1.961908082,4.564347266
0.371041375,3.130646915,-4.045359896,3.048966283,5.955004802
0.380976375,3.84770325,-1.866398492,3.176323317,5.327034207
0.390912375,2.44272404,-2.706756817,2.257673113,4.288417084
0.400847375,1.95774311,-3.444016451,1.810765159,4.35578671
0.410783375,1.142388502,-3.140126714,2.286168349,4.0487051
0.420718375,-0.1740987995,-3.103874561,3.179797148,4.446960489
0.430654375,-0.8110529575,-3.165897147,2.931337845,4.390154121
0.440589375,-0.1083379425,-3.223713246,2.178539528,3.892312767
0.450525375,1.369803822,-3.5651386,1.124344726,3.981297126
0.460460375,2.933925531,-4.819773908,0.6205497944,5.676550149
0.470396375,3.613231656,-5.960673271,0.5668343478,6.993308946
0.480331375,3.990113356,-6.852833834,0.614016408,7.953574813
0.490267375,3.685668426,-7.894053957,1.327839817,8.812683938
0.500202375,3.515446915,-9.519800348,1.58460889,10.27112219
0.510138375,3.932524422,-10.91165051,1.128610708,11.65343844
0.520073375,-5.401920944,-8.967234961,-2.687337044,10.80804483
0.530009375,-11.20308627,-5.136533368,-2.516165653,12.57872038
0.539945375,-15.48115131,-1.879807327,-0.01541099466,15.59486964
0.549880375,-22.11697158,-0.3251671708,-1.271362438,22.15586893
0.559816375,-17.96138582,-0.9405679071,-0.7851661643,18.00312569
0.569751375,-12.068818,-4.663194244,-0.4193330705,12.94517627
0.579687375,-8.460090744,-7.392893196,0.6266694903,11.25258725
0.589622375,2.568033088,-5.496463405,-1.730041715,6.30864076
0.599558375,19.84579608,2.580322473,-0.9113400149,20.03357748
0.609493375,19.44855964,6.854093909,1.656668807,20.68742678
0.619429375,14.07937374,4.500725264,-0.628273674,14.79459431
0.629364375,8.98651557,0.2821918899,3.859302079,9.784237675
0.639300375,-1.929881712,-1.262496305,2.415214645,3.339401462
0.649235375,0.2158669227,-0.9917953634,3.043755244,3.20853589
0.659171375,0.4299323183,-0.02898406327,1.62967075,1.685677498
0.669106375,2.681242492,1.506695327,-0.6988849425,3.153986726
0.679042375,3.608919627,2.991760048,1.319235055,4.869836772
0.688977375,3.696527874,3.241637301,5.133432004,7.1080697
0.698913375,2.575548806,2.946794375,6.103665175,7.250639787
0.708848375,0.908233974,3.353666444,5.624123325,6.610804093
0.718784375,-0.4446292949,3.859094503,5.243287153,6.525516513
0.728719375,0.1448747081,3.873741778,3.760318658,5.40063519
0.738655375,2.164613507,4.566573683,1.803798201,5.365895525
0.748591375,2.730616381,5.418842202,2.305374699,6.491137738
0.758526375,0.3000978184,4.810842286,3.063096664,5.711114022
0.768462375,-2.890579244,2.959658834,2.072459049,4.627106579
0.778397375,-2.306945845,1.559141343,0.5598826297,2.840138979
0.788333375,-0.9173339957,0.8994228047,-1.05112823,1.659919756
0.798268375,-0.8418388402,0.5004263502,-1.761783618,2.015688637
0.808204375,0.3077986014,0.9457409388,-2.27376699,2.481769978
0.818139375,1.369141333,1.355340734,-4.453611324,4.852437565
0.828075375,1.26109999,1.824008517,-6.007826972,6.404011648
0.838010375,2.313585359,2.551588086,-5.886942805,6.820511312
0.847946375,4.436683635,2.994778381,-6.616170119,8.510379913
0.857881375,2.298177946,2.928289107,-5.113675432,6.325043509
0.867817375,-0.1212045944,1.992152805,-4.163968327,4.617574643
0.877752375,-1.377249666,1.277769817,-4.444255779,4.825030754
0.887688375,-2.237130675,1.099285898,-5.357054089,5.908571034
0.897623375,-2.429789414,0.6778805745,-5.241642916,5.817062758
0.907559375,-2.355339741,0.1629852891,-4.50095506,5.082596379
0.917494375,-2.770403759,-0.8300672257,-3.573218867,4.596960046
0.927430375,-3.754128211,-2.472248386,-3.138923357,5.482547815
0.937366375,-3.971535875,-3.556372454,-4.652142129,7.075542992
0.947301375,-3.018307577,-3.11053337,-5.565727183,7.054283631
0.957237375,-2.939263746,-1.10226447,-6.686312149,7.386543744
0.967172375,-3.482504579,1.014864968,-5.886452808,6.914341307
0.977108375,-3.375764242,0.1060146976,-4.079178438,5.295915413
0.987043375,-3.697643523,-2.025550931,-3.377566354,5.402164258
0.996979375,-4.075767172,-2.414574375,-3.025935562,5.621239496
1.006914375,-5.062631578,-1.635817051,-1.906405726,5.651594352
1.016850375,-5.596302858,-0.3663958883,0.1266316876,5.609713648
1.026785375,-5.145374942,1.344441524,1.605893048,5.555294663
1.036721375,-4.926318948,3.155510738,1.99941914,6.18251917
1.046656375,-5.266631577,4.730455935,1.808788215,7.306595399
1.056592375,-5.000483277,5.311735244,1.044296343,7.369526387
1.066527375,-3.689234642,4.463035866,-0.1969902103,5.793785164
1.076463375,-3.473810354,3.66586683,-1.562033376,5.286386881
1.086398375,-1.392746542,4.226913604,-0.2211230214,4.455944
1.096334375,0.5947068554,5.516635714,0.9897412366,5.63618076
1.106269375,0.8494618553,5.516003045,1.803039232,5.865051195
1.116205375,1.771225702,4.071641961,3.288408594,5.525318075
1.126140375,0.8972897404,2.918584483,3.85718948,4.91946897
1.136076375,0.1531204516,2.584572814,2.453734932,3.567110542
1.146012375,0.1537735856,1.108508711,2.828143845,3.041518615
1.155947375,0.0532628721,-0.1068707299,2.394364497,2.397340116
1.165883375,0.8479714,-0.8445572108,2.937898129,3.172314265
1.175818375,0.8384357607,-1.292770849,3.358845908,3.695412944
1.185754375,0.7959779584,-0.9975835222,1.227525862,1.770755075
1.195689375,0.180451507,-1.255802413,0.6445303953,1.423032634
1.205625375,0.5584810156,-2.352401515,1.869969971,3.056547338
1.215560375,0.545260461,-3.010070604,1.991723034,3.650314323
1.225496375,0.3642698407,-3.523090103,1.518210248,3.853546256
1.235431375,0.6707615894,-4.297180763,1.151043112,4.498953642
1.245367375,1.389706575,-5.65928848,0.6312151158,5.861506887
1.255302375,1.346459398,-7.05542173,2.127240443,7.491133466
1.265238375,0.1007978117,-7.533280751,3.221422307,8.193780614
1.275173375,-1.969785743,-7.471620108,2.972168368,8.278825262
1.285109375,-2.021150317,-7.114102632,3.314054482,8.104224946
1.295044375,-2.145805645,-6.426475918,3.2467159,7.513004641
1.304980375,-1.899432921,-4.885771431,2.563302982,5.835163244
1.314916375,-1.52310466,-3.370816913,1.875473371,4.147246656
1.3248515,-1.054786833,-2.637615246,0.7676388431,2.942593897
1.3347875,-0.4024337402,-1.685539434,0.5156691644,1.808012938
1.3447225,0.03569491267,-0.7073172122,0.6480053955,0.9599389346
1.3546585,0.5291364715,0.01245223045,0.8660615158,1.014989169
1.3645935,0.9700308573,0.2420185947,0.806151529,1.284294807
1.3745295,0.9827772027,-0.0732053858,1.20949685,1.560157905
1.3844645,-0.1698411494,-0.9457000083,1.091964599,1.454503767
1.3944005,-2.680932004,-0.5285304075,-0.08982492685,2.734009752
1.4043355,-3.909030894,-0.2471530348,-0.7542984205,3.988805994
1.4142715,-4.731228937,-0.766843037,-0.666919384,4.839148372
1.4242065,-4.230970986,-0.8188879341,-0.7233385831,4.369772493
1.4341425,-3.347923894,-0.5709975654,-0.2860311717,3.40829084
1.4440775,-2.34991411,-0.9248733956,-0.7511707449,2.634719076
1.4540135,-0.9950499237,-1.473011856,0.3736277246,1.816448721
1.4639485,-0.3786534065,-2.009319645,1.544352565,2.562375594
1.4738845,-0.329497034,-1.885787274,1.867938064,2.674687748
1.4838195,-1.19602048,-1.457406222,1.242217577,2.257787056
1.4937555,-1.449048212,-1.124370453,0.8701396564,2.030047452
1.5036915,-0.3959231579,-1.564706138,0.5535541517,1.706306726
1.5136265,0.5404552191,-2.119483527,0.7548609227,2.313896557
1.5235625,0.5063940185,-1.464456795,1.221691511,1.973220402
1.5334975,0.5151829684,-0.9192156297,1.870545922,2.146931045
1.5434335,0.3629325825,-0.3224716043,1.512729068,1.58872818
1.5533685,-0.2771393108,-0.01201018095,0.2476611578,0.3718689166
1.5633045,-0.2019868022,0.1466826671,-0.5529448718,0.606681551
1.5732395,0.0896173507,0.4955181974,-0.7013273245,0.8633826322
1.5831755,0.3605130047,0.737360791,-0.664061265,1.055768879
1.5931105,1.100124389,0.506193459,-0.09540550947,1.214745941
1.6030465,1.121679565,0.9670546246,0.7546521771,1.662185189
1.6129815,1.573781601,1.194494357,0.7553675839,2.115227052
1.6229175,1.773855194,1.208161638,0.165504562,2.152581835
1.6328525,1.306472629,1.741827071,-0.2736567092,2.194474942
1.6427885,0.4427920997,2.190340086,-0.5959923658,2.312760566
1.6527235,-0.6536812878,2.44197969,-0.7874112028,2.64775007
1.6626595,-1.480629609,2.559581814,-2.003045583,3.571542343
1.6725955,-1.614656562,2.888993479,-2.35257547,4.060543126
1.6825305,-1.521910366,3.20367133,-1.824721585,3.98865015
1.6924665,-1.614637851,3.627433666,-1.643364637,4.297205804
1.7024015,-2.007017012,2.956425909,-2.126404876,4.158144915
1.7123375,-1.935473405,0.9916790038,-3.608218546,4.212923643
1.7222725,-1.876664448,-0.00771423161,-4.481225969,4.858324315
1.7322085,-1.993520468,0.3783797568,-3.890112813,4.387513281
1.7421435,-1.185725287,0.3907524651,-2.660046335,2.938448306
1.7520795,0.05887035191,0.1687822187,-1.29150785,1.303819651
1.7620145,2.120149525,0.9137204164,-1.193255332,2.59880305
1.7719505,2.720626413,2.343454106,-1.072340759,3.747465801
1.7818855,3.154865205,2.423413026,-0.2648969954,3.987013365
1.7918215,3.946264209,1.272686248,-0.1687295938,4.149843511
1.8017565,4.242196763,0.3136481559,-0.3525537747,4.268360658
1.8116925,4.045028944,-0.08045300961,-0.4703400868,4.073076435
1.8216275,4.434087763,-0.3415235871,-0.407160337,4.465820439
1.8315635,4.367426873,-1.368801025,-0.0795010829,4.577592616
1.8414985,3.560566077,-2.840903054,0.3821634901,4.57104035
1.8514345,2.132299747,-3.814017733,0.7307902747,4.430292078
1.8613705,0.4750047031,-4.955951468,1.204773469,5.122359176
1.8713055,-1.553209635,-5.440503212,0.6283163586,5.692654637
1.8812415,-3.31582268,-4.726428958,0.09746080577,5.774366575
1.8911765,-5.51254968,-3.148889351,1.325055665,6.485328105
1.9011125,-7.401823649,0.4790267104,3.128267391,8.050001043
1.9110475,-7.678298716,2.557025412,3.41178923,8.782650846
1.9209835,-6.370991689,2.255530109,3.393933003,7.562786021
1.9309185,-5.084567993,1.827896916,4.754286847,7.197032877
1.9408545,-6.46247781,1.978684913,5.107383828,8.471374327
1.9507895,-5.628791742,1.467176335,5.330938085,7.890171338
1.9607255,-3.558535924,1.532065811,5.904028369,7.061724616
1.9706605,-1.402218447,1.120117189,5.45243504,5.740202693
1.9805965,0.8397434905,-0.6649734306,3.195570597,3.370316044
1.9905315,1.155094063,0.08896772504,0.453648625,1.244168247
2.0004675,1.337902875,0.5321913493,0.1984805194,1.453480737
2.0104025,2.002149789,-0.5877311271,-1.138123105,2.376837365
2.0203385,2.460489635,-0.03617379963,-7.007972159,7.427448524
2.0302735,2.350755232,1.771137409,-8.02890069,8.551387266
2.0402095,0.4346299714,2.438395346,-4.536693242,5.168777481
2.0501455,0.4986946973,3.009052019,-2.1004447,3.70337122
2.0600805,0.09994294882,2.918744697,-1.565580589,3.313623663
2.0700165,0.2412382838,2.078985711,-1.924779139,2.843440211
2.0799515,0.3196614325,0.5466094136,-1.762871785,1.873147675
2.0898875,0.2527198765,-0.4674860609,-1.357498064,1.457810532
2.0998225,0.1256405845,-0.6734308434,-0.7060714629,0.9837843097
2.1097585,-0.4102643314,-0.724558897,0.3095746931,0.8883349073
2.1196935,-0.6653476524,-0.5951828188,0.7612057364,1.173185518
2.1296295,-0.5057502401,-0.3655825406,0.6821598592,0.9245409525
2.1395645,-0.2766300184,-0.05570700824,0.5738790733,0.6395034234
2.1495005,0.3156847411,-0.1665082365,0.90198944,0.9700344316
2.1594355,1.304963755,-0.2434885848,1.85790161,2.283421881
2.1693715,1.769059308,-0.4580697048,2.788821319,3.334205009
2.1793065,1.400937029,-0.5646387184,2.887560619,3.258749418
2.1892425,0.7624944627,-0.3454458994,1.965237486,2.136092005
2.1991775,0.2716326955,0.1684559441,0.7814736477,0.8443120207
2.2091135,0.9864472076,0.8843024898,-0.2274312535,1.344170362
2.2190485,1.301084128,1.172836854,-1.094944633,2.065737143
2.2289845,0.6787035701,0.7464543808,-3.30721704,3.457675119
2.2389205,1.359257199,0.6327125877,-4.172321659,4.433528322
2.2488555,4.045152028,0.7459982979,-2.926856539,5.048391585
2.2587915,4.491013623,0.07991097271,-2.656558763,5.2185145
2.2687265,2.726860422,-0.6775326651,-3.95713506,4.853219154
2.2786625,1.969819072,-0.5253781736,-3.877798576,4.381042251
2.2885975,0.3403132135,0.04716422617,-3.954739748,3.969635251
2.2985335,-1.824035707,0.8680542469,-4.51596954,4.947181553
2.3084685,-2.690104532,1.003039559,-3.270759358,4.352081976
