"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.186583334E-3,-5.419389501E-1,1.651893970E-1,-3.739563382E-1,6.788436531E-1
1.422858333E-2,-1.732646942E-1,2.099150419E-2,-6.655371022E-1,6.880413737E-1
2.427058332E-2,-6.765959412E-2,2.320526004E-2,-7.844916880E-1,7.877458431E-1
3.431258333E-2,-1.090540802E-1,-3.320838422E-2,-6.154837668E-1,6.259519601E-1
4.435458333E-2,-9.646634057E-2,-1.003776893E-1,-3.515533161E-1,3.781152859E-1
5.439658333E-2,1.401600981E-1,-1.449802503E-1,-7.080510378E-2,2.137229253E-1
6.443858333E-2,3.458566663E-1,-1.924330366E-1,1.124442959E-1,4.114499081E-1
7.448058332E-2,3.308052023E-1,-1.825500727E-1,2.307498407E-1,4.427212440E-1
8.452258333E-2,2.705059370E-1,-1.243693998E-1,2.974402589E-1,4.208466671E-1
9.456458333E-2,3.414655535E-1,-8.247906983E-2,1.496764416E-1,3.818436307E-1
1.046065833E-1,4.402611324E-1,-4.669527948E-2,3.011316061E-4,4.427306230E-1
1.146485833E-1,5.089584611E-1,-5.400576085E-2,-1.046271533E-1,5.224004006E-1
1.246905833E-1,4.391910920E-1,-3.016227722E-2,-1.719964331E-1,4.726323637E-1
1.347325833E-1,2.607263227E-1,2.888787657E-2,-2.660927510E-1,3.736550239E-1
1.447745833E-1,5.985151470E-2,1.258806127E-1,-3.765893394E-1,4.015565502E-1
1.548165833E-1,-5.521174908E-2,2.237808368E-1,-3.552241981E-1,4.234506241E-1
1.648585833E-1,-1.860407142E-1,2.747700191E-1,-2.756295598E-1,4.313714930E-1
1.749005833E-1,-1.888380222E-1,2.560130283E-1,-2.842167807E-1,4.265930704E-1
1.849425833E-1,-1.787270169E-1,2.166378781E-1,-2.887963200E-1,4.028382197E-1
1.949845833E-1,-1.997443950E-1,1.894117802E-1,-2.362339443E-1,3.627411229E-1
2.050265833E-1,-3.458609055E-1,1.973990768E-1,-9.464303255E-3,3.983412287E-1
2.150675833E-1,-4.674739279E-1,2.005217823E-1,2.203605080E-1,5.543461120E-1
2.251095833E-1,-9.215717652E-1,2.159014213E-1,2.068990481E-1,9.688731384E-1
2.351515833E-1,-1.031545613E0,5.335575512E-1,3.465697342E-1,1.211973841E0
2.451935833E-1,-1.470864174E-1,4.398684919E-1,-5.317340970E-2,4.668469940E-1
2.552355833E-1,-8.805292815E-2,2.478576243E-2,-2.953504640E-1,3.091917670E-1
2.652775833E-1,3.986850902E-2,7.364918947E-2,-2.338658220E-1,2.484087837E-1
2.753195833E-1,-1.176021248E-1,2.162712577E-1,-2.581317669E-1,3.567008912E-1
2.853615833E-1,-2.311073980E-1,1.990620250E-1,-4.067679888E-1,5.084255264E-1
2.954035833E-1,-2.076302424E-1,1.722616044E-1,-6.114222908E-1,6.682975352E-1
3.054455833E-1,-2.848893566E-1,2.031962988E-1,-7.204722780E-1,8.009562939E-1
3.154875833E-1,-5.045976077E-1,1.441771352E-1,-7.620834035E-1,9.252982794E-1
3.255295833E-1,-9.284881443E-1,2.623771378E-1,-7.251681769E-1,1.206980067E0
3.355715833E-1,-1.046623974E0,3.462355658E-1,-9.740806389E-1,1.471099555E0
3.456135833E-1,-1.124558880E0,3.913333860E-1,-1.456628543E0,1.881366845E0
3.556555833E-1,-1.162987220E0,4.007582206E-1,-1.274686580E0,1.771432274E0
