"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.401208324E-3,-4.823777497E-2,3.782306528E-1,-5.252027571E-1,6.490171383E-1
1.833520835E-2,2.613459814E-1,1.034553713E-1,-6.586829960E-1,7.161480469E-1
2.827020834E-2,-4.716719364E-1,6.338060170E-2,-1.918956774E-1,5.131427357E-1
3.820420837E-2,-1.190532137E0,2.975300136E-1,-1.710257953E-1,1.239007950E0
4.813920835E-2,-2.468596508E-1,4.523531744E-1,-8.026063621E-1,9.538029430E-1
5.807320838E-2,-2.199332227E-1,4.906813806E-1,-1.058685172E0,1.187414474E0
6.800820836E-2,-6.408215064E-1,5.075348103E-1,-7.153466088E-1,1.086261735E0
7.794220833E-2,-8.535782951E-1,6.389299321E-1,-3.229417205E-2,1.066710025E0
8.787720837E-2,-9.828882998E-1,7.448525360E-1,4.061394131E-1,1.298392827E0
9.781120834E-2,-8.264273340E-1,9.030384305E-1,5.293981344E-1,1.333687718E0
1.077462084E-1,-6.133315529E-1,8.650008309E-1,3.428976828E-1,1.114441946E0
1.176802084E-1,-5.873232839E-1,7.029288769E-1,2.261346334E-1,9.435012020E-1
1.276152083E-1,-3.986942996E-1,7.289185810E-1,4.709715861E-1,9.550359560E-1
1.375502084E-1,-2.617798448E-2,8.183219236E-1,8.081957155E-1,1.150441816E0
1.474842083E-1,1.348347464E-1,6.962294295E-1,9.740660208E-1,1.204873620E0
1.574192084E-1,4.131987566E-1,3.773521087E-1,9.945973492E-1,1.141206254E0
1.673532084E-1,4.028157096E-1,3.466989577E-2,7.102975380E-1,8.173035483E-1
1.772882083E-1,1.560259330E-1,-2.103182074E-1,2.787046105E-1,3.824318241E-1
1.872222084E-1,-3.076774178E-1,-2.959199828E-1,2.403632480E-1,4.899066448E-1
1.971572083E-1,-8.867435561E-1,-9.220474362E-2,9.903101707E-1,1.332490181E0
2.070912084E-1,-9.049836530E-1,6.674713612E-2,1.758181733E0,1.978548356E0
2.170262084E-1,-5.159843293E-1,-4.256305218E-2,1.887837308E0,1.957544672E0
2.269602083E-1,-2.492988168E-1,-6.817894381E-1,1.034505765E0,1.263799397E0
2.368952084E-1,-3.175254446E-1,-1.370306683E0,1.080939674E-1,1.410761184E0
2.468292083E-1,-6.436578445E-1,-1.706010536E0,-3.996039802E-1,1.866668345E0
2.567642084E-1,-7.354816420E-1,-1.614309238E0,-2.121469241E-1,1.786598410E0
2.666992084E-1,-7.025599176E-1,-1.497613431E0,8.609405243E-1,1.864847182E0
2.766332083E-1,-1.232550375E0,-1.660701631E0,2.389158282E0,3.159934751E0
2.865682084E-1,-1.389515663E0,-1.902871084E0,3.722612303E0,4.405623055E0
2.965022083E-1,-1.452160100E0,-2.040132133E0,4.686209469E0,5.313329208E0
3.064372084E-1,-1.290112705E0,-2.244127454E0,4.461447178E0,5.158004434E0
3.163712083E-1,-7.343344914E-1,-2.626303223E0,3.408261312E0,4.364969752E0
3.263062083E-1,-6.733960524E-1,-2.633889985E0,2.649038367E0,3.795819143E0
3.362402084E-1,1.457050127E0,3.555297736E0,1.085782338E0,3.992750975E0
3.461752083E-1,-4.453296159E0,-2.295573596E0,5.706549186E-1,5.042534268E0
3.561092084E-1,-3.596884888E0,-2.648298694E0,8.359021622E-1,4.544205023E0
3.660442083E-1,1.248193431E0,2.081130470E0,2.867725986E-1,2.443630373E0
3.759782084E-1,-6.911420596E-1,5.079745209E-1,-1.541869837E-1,8.714867104E-1
3.859132084E-1,-1.282328599E0,8.903403246E-1,-7.320994663E-1,1.724251187E0
3.958472083E-1,-1.605981816E-1,1.155134409E0,-1.076515963E0,1.587140163E0
4.057822084E-1,-1.118563583E-1,-3.843480098E-1,-8.936931181E-1,9.792459481E-1
4.157172084E-1,-4.470100253E-1,-2.108334641E0,-7.163333264E-1,2.271128872E0
4.256512084E-1,-3.058484965E0,-3.722528688E0,-2.645209318E0,5.496242576E0
4.355862084E-1,1.709333362E-1,-3.240020546E0,-2.930202608E0,4.371846140E0
4.455202083E-1,2.864667600E0,-2.064558876E0,1.327990383E-2,3.531132986E0
4.554552084E-1,1.053926488E0,-1.808390604E0,5.760998458E-2,2.093885510E0
4.653892083E-1,-6.301207363E-1,-1.303244966E0,-1.011073341E0,1.765720500E0
4.753242083E-1,-2.130177207E0,-6.530065191E-1,-1.482675257E0,2.676265750E0
4.852582084E-1,-1.203193844E0,6.383627522E-1,-1.941541060E0,2.371658516E0
4.951932083E-1,-1.408054114E-1,1.068766356E0,-2.071204383E0,2.334946527E0
5.051272084E-1,-3.320370644E-2,4.669586420E-1,-1.614584057E0,1.681081359E0
5.150622083E-1,-4.575402394E-1,-2.476377690E-1,-8.453840071E-1,9.926437703E-1
5.249972083E-1,-7.421581391E-1,-1.277296193E0,6.786103070E-2,1.478813506E0
5.349312084E-1,-3.639368418E-1,-2.813454469E0,5.680336118E-2,2.837464132E0
5.448662083E-1,-1.988192193E-1,-4.122726161E0,-5.066858677E-1,4.158501010E0
5.548002084E-1,-8.539251812E-1,-4.557275441E0,-1.328327913E0,4.823111309E0
5.647352083E-1,-1.759785186E0,-4.924137937E0,-1.879127296E0,5.556536485E0
5.746692084E-1,-1.863297275E0,-3.145372835E0,-1.464589380E0,3.938307893E0
5.846042084E-1,-1.891026818E0,-1.620418993E0,-2.903290214E-1,2.507195860E0
5.945382083E-1,-1.352085297E0,-1.168685331E0,-1.345467710E-1,1.792222890E0
6.044732084E-1,-3.092744971E0,-1.203404928E0,-5.894430457E-1,3.370563452E0
6.144072083E-1,-5.952165572E0,-3.198417606E0,3.629805297E-3,6.757082459E0
6.243422084E-1,-6.507323615E0,-5.503155543E0,1.320436804E0,8.624009214E0
6.342762084E-1,-5.738658586E0,-7.483347284E0,2.889961778E0,9.863293973E0
6.442112083E-1,-4.121801131E0,-8.524925841E0,3.635042063E0,1.014283668E1
6.541462084E-1,-2.296067393E0,-8.405951959E0,4.071296391E0,9.618077153E0
6.640802083E-1,-1.012598003E0,-7.878213850E0,4.862960566E0,9.313430820E0
