"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.425958334E-3,1.288603538E-1,1.550377536E-1,-1.095930766E0,1.114318599E0
1.336195832E-2,3.049849212E-2,-4.612663776E-2,-1.146079996E0,1.147413256E0
2.329695830E-2,-2.027788076E-1,-2.145559770E-1,-8.994613963E-1,9.466701197E-1
3.323295835E-2,-4.989496359E-1,-2.707933277E-1,-4.873022747E-1,7.481599244E-1
4.316795833E-2,-6.362048373E-1,-2.570687431E-1,-2.276671886E-2,6.865560845E-1
5.310395831E-2,-7.223815401E-1,-1.957647800E-1,3.114922875E-1,8.106703299E-1
6.303895835E-2,-8.218330304E-1,-1.646938455E-1,4.993773597E-1,9.756594386E-1
7.297495834E-2,-7.855743000E-1,-9.473074079E-2,5.861488706E-1,9.847189409E-1
8.290995832E-2,-6.450841266E-1,-3.648370206E-2,5.550130320E-1,8.517652591E-1
9.284595831E-2,-3.830354561E-1,-6.153346628E-2,5.206857830E-1,6.493198078E-1
1.027809583E-1,-2.392522770E-1,-8.854672551E-2,7.228596961E-1,7.665561395E-1
1.127169583E-1,-2.609264436E-1,-3.154806733E-2,8.807193160E-1,9.190997787E-1
1.226529583E-1,-4.336108017E-1,-8.257613361E-2,8.867337620E-1,9.905220391E-1
1.325879583E-1,-4.342032708E-1,-2.029276192E-1,8.477907211E-1,9.738897298E-1
1.425239583E-1,-3.574240668E-1,-2.748474947E-1,8.428603488E-1,9.558800534E-1
1.524589583E-1,-2.972138254E-1,-3.264050263E-1,9.395031291E-1,1.038047412E0
1.623949583E-1,-7.133953929E-2,-5.004567558E-1,1.037503048E0,1.154105225E0
1.723299584E-1,-9.228411958E-2,-8.069891426E-1,9.742034304E-1,1.268392746E0
1.822659583E-1,-2.812228601E-1,-9.128170216E-1,8.008054197E-1,1.246439141E0
1.922009583E-1,-4.290088968E-1,-7.497843701E-1,5.970790708E-1,1.050108876E0
2.021369583E-1,-3.574264057E-1,-4.600255984E-1,3.817430753E-1,6.964947682E-1
2.120719583E-1,-2.075504279E-1,-1.197351891E-1,1.278844535E-2,2.399525786E-1
2.220079583E-1,5.699237242E-2,3.741721004E-2,-2.217270023E-1,2.319720708E-1
2.319429583E-1,3.122224586E-1,5.247408271E-2,-2.476833773E-1,4.019744375E-1
2.418789583E-1,4.031143561E-1,7.812932611E-2,-2.784315455E-1,4.961144034E-1
2.518139583E-1,2.551030554E-1,2.112224793E-1,-2.140151095E-1,3.943285074E-1
2.617499583E-1,-5.389656410E-2,3.342224613E-1,-1.831523359E-2,3.390353094E-1
2.716849583E-1,-3.582447235E-1,2.747723579E-1,1.434643596E-1,4.737310979E-1
2.816209584E-1,-6.445218437E-1,-4.254814178E-2,4.532463366E-1,7.890823740E-1
2.915559583E-1,-1.021039043E0,-6.476528084E-1,8.442490625E-1,1.474697043E0
3.014919583E-1,-1.071022504E0,-1.177684196E0,1.267790959E0,2.035024124E0
3.114269583E-1,-4.325221598E-1,-6.806574172E-1,1.670277616E0,1.854776874E0
3.213633750E-1,-6.808351725E-5,-7.410281646E-1,2.009145398E0,2.141445301E0
3.312993750E-1,5.022021496E-1,-1.696706446E0,2.069751788E0,2.723029972E0
3.412343750E-1,1.329510659E0,-2.534556316E0,2.081038669E0,3.538685667E0
3.511703750E-1,1.385482838E0,-3.117411450E0,1.720032744E0,3.820514296E0
3.611053750E-1,1.561502448E0,-3.813907805E0,1.961908082E0,4.564347266E0
3.710413750E-1,3.130646915E0,-4.045359896E0,3.048966283E0,5.955004802E0
3.809763750E-1,3.847703250E0,-1.866398492E0,3.176323317E0,5.327034207E0
3.909123750E-1,2.442724040E0,-2.706756817E0,2.257673113E0,4.288417084E0
4.008473750E-1,1.957743110E0,-3.444016451E0,1.810765159E0,4.355786710E0
4.107833750E-1,1.142388502E0,-3.140126714E0,2.286168349E0,4.048705100E0
4.207183750E-1,-1.740987995E-1,-3.103874561E0,3.179797148E0,4.446960489E0
4.306543750E-1,-8.110529575E-1,-3.165897147E0,2.931337845E0,4.390154121E0
4.405893750E-1,-1.083379425E-1,-3.223713246E0,2.178539528E0,3.892312767E0
4.505253750E-1,1.369803822E0,-3.565138600E0,1.124344726E0,3.981297126E0
4.604603750E-1,2.933925531E0,-4.819773908E0,6.205497944E-1,5.676550149E0
4.703963750E-1,3.613231656E0,-5.960673271E0,5.668343478E-1,6.993308946E0
4.803313750E-1,3.990113356E0,-6.852833834E0,6.140164080E-1,7.953574813E0
4.902673750E-1,3.685668426E0,-7.894053957E0,1.327839817E0,8.812683938E0
5.002023750E-1,3.515446915E0,-9.519800348E0,1.584608890E0,1.027112219E1
5.101383750E-1,3.932524422E0,-1.091165051E1,1.128610708E0,1.165343844E1
