Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.001969125,-0.68556864,1.895534583,-1.812524001,2.710774607
0.011903125,-0.199162743,2.616336936,-1.764294997,3.161901579
0.021837125,-0.213890271,2.920490968,-0.768432895,3.027458613
0.031771125,-0.619131845,2.078979279,0.856408932,2.332148225
0.041705125,-1.444960424,0.933960553,1.965473714,2.612140858
0.051640125,-2.115360801,0.62676977,2.570866356,3.387764083
0.061574125,-2.542462629,1.326550798,2.773427939,3.989455574
0.071508125,-3.847852646,2.041783971,2.569769418,5.057525742
0.081442125,-4.757951005,1.985514168,1.755837584,5.446405227
0.091376125,-6.342682394,2.752303703,1.290956458,7.033588288
0.101310125,-6.159797861,2.336638007,0.976652829,6.660092913
0.111245125,-5.925368952,1.301946007,1.856126688,6.344309805
0.121179125,-6.838093003,0.317696768,3.073528681,7.503800751
0.131113125,-6.297689824,-0.486827773,3.892360482,7.419458776
0.141047125,-0.925286209,-0.299946083,4.086041315,4.200220928
0.150981125,3.222532693,0.634596561,4.897265303,5.896663226
0.160916125,4.96813648,0.804042146,3.556109914,6.16236818
0.170850375,5.872204313,0.040032085,0.442990905,5.889025981
0.180784375,4.224238795,-1.972824249,0.223567121,4.667570157
0.190718375,0.512611071,-3.375379787,0.740338778,3.493431025
0.200652375,-1.55958193,-2.456282856,0.502417327,2.952633475
0.210587375,-2.319302182,-1.790251664,-0.004339803,2.929877551
0.220521375,-2.582069036,-1.827201389,-0.955307568,3.304293869
0.230455375,-2.844591478,-2.309371271,-1.954972115,4.152928161
0.240389375,-2.390259898,-2.943384571,-2.957539803,4.808731309
0.250323375,-1.071895494,-3.460821057,-2.712908088,4.526158706
0.260257375,0.44802682,-3.50925062,-2.825631296,4.527666084
0.270192375,0.97052904,-3.204267161,-2.600171431,4.239120915
0.280126375,1.365832393,-3.397120905,-2.284930494,4.315881825
0.290060375,1.52525322,-3.647992184,-2.252432254,4.550570889
0.299994375,1.760631716,-3.866211149,-2.40864062,4.883539938
0.309928375,1.991911899,-4.1688604,-2.494177199,5.250526635
0.319863375,1.931489697,-4.557338883,-2.733826502,5.654537778
0.329797375,1.657348838,-4.764002288,-3.204729091,5.976019705
0.339731375,2.134000994,-4.733635066,-3.804073958,6.436788008
0.349665375,2.612205586,-4.939049506,-4.482428741,7.163099571
0.359599375,3.111651358,-5.396794106,-4.870177492,7.907362999
0.369534375,3.161247441,-5.658309072,-5.07053409,8.229232218
0.379468375,3.035070959,-5.474089619,-4.863354376,7.926507975
0.389402375,2.966358574,-4.759513381,-4.423418641,7.142750401
0.399336375,3.18485382,-3.932581432,-4.192834277,6.571784373
0.409270375,3.83880291,-3.871703146,-4.57099067,7.114804898
0.419204375,4.566830376,-2.971929801,-5.396860764,7.669055517
0.429139375,3.902138196,-2.373449153,-5.24624409,6.955790425
0.439073375,1.953462363,-2.889249002,-4.010325134,5.314742015
0.449007375,0.96879651,-3.312380717,-2.203712376,4.094725989
0.458941375,0.569113008,-2.981545547,-0.08268343,3.036501279
0.468875375,0.51257511,-2.244176863,1.852655196,2.954893282
0.478810375,-0.890747291,-1.665600429,2.557972076,3.179760473
0.488744375,0.012573853,-2.45058416,3.313057824,4.120906814
0.498678375,1.676920638,-3.103547409,1.518603766,3.840602394
0.508612375,0.363628986,-3.245926526,2.571947506,4.157304298
0.518546375,-3.536078523,-2.554131625,3.391843792,5.525580873
0.528480375,-8.755142416,0.807891514,3.303677428,9.392523195
0.538415375,-10.1801229,4.130048629,6.815000594,12.92812582
0.548349375,-9.531224054,5.383579398,7.722257499,13.39628381
0.558283375,-9.134475853,4.193844091,6.43977541,11.93723941
0.568217375,-8.370157059,2.589852265,6.564172,10.94784079
0.578151375,-9.213710888,2.614922202,6.237465842,11.42962233
0.588086375,-8.634745322,3.697582712,5.377628687,10.82357773
0.598020375,-6.32591258,5.263679318,4.506233049,9.38241047
0.607954375,-3.939534649,6.967257997,4.025031466,8.95898965
0.617888375,-2.959434886,7.642598541,3.767189137,9.019937987
0.627822375,-4.489264137,5.593368725,3.807046682,8.119905826
0.637757375,-6.418949382,4.332336271,4.266169471,8.841507263
0.647691375,-6.693295478,4.6603256,4.613895199,9.370531893
0.657625375,-5.644361123,4.650813934,4.572370613,8.62528004
0.667559375,-4.116549747,4.478058532,4.34583486,7.475645168
0.677493375,-3.047394551,4.329441899,4.445360318,6.913169249
0.687427375,-2.514787465,3.93544686,4.551807709,6.521568171
0.697362375,-1.684071783,3.229184486,3.586500818,5.111430164
0.707296375,-0.996388351,2.445851131,3.11867094,4.086696213
0.717230375,-0.539293377,1.574781767,2.87939469,3.325911716
0.727164375,-0.626840814,1.026128167,2.841664361,3.085599579
0.737098375,-0.204288266,0.505832978,2.219722345,2.285775139
0.747033375,0.115908186,0.047330287,1.646785258,1.651537632
