Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.001395292,0.609935929,-2.437487859,0.613990388,2.586571687
0.011329292,0.688996424,-2.208439558,1.159409308,2.587692272
0.021262292,0.731172098,-1.924129221,1.436796541,2.510233096
0.031196292,0.821314236,-2.018497435,1.31377434,2.544580906
0.041129292,0.959035168,-2.203386979,1.000106303,2.602859053
0.051062292,1.069154904,-2.239204098,0.91874756,2.645982668
0.060996292,1.065246332,-1.997614689,1.088116547,2.511814446
0.070929292,0.805360985,-1.646971784,1.301635228,2.248416474
0.080862792,0.488792438,-1.368010481,1.601264538,2.162040435
0.090795792,0.091748076,-0.887643004,2.187344996,2.362372948
0.100729792,-0.353387003,-0.522379137,2.180046209,2.269441299
0.110662792,-0.706640982,-0.09034299,2.254118006,2.3640117
0.120595792,-0.95722604,0.480503132,2.646504183,2.855021776
0.130529792,-1.129413384,1.049244257,3.110736561,3.47176757
0.140462792,-0.898100165,1.660502241,3.767694921,4.214187539
0.150396792,-0.449732452,1.900293632,4.11758792,4.557181744
0.160329792,-0.075543395,1.621216553,4.163266076,4.468426383
0.170263792,-0.004045689,0.74327408,3.571094574,3.647627884
0.180196792,-0.308757545,-0.425901248,2.317214141,2.376174335
0.190130792,-1.064793173,-1.17547044,0.861015369,1.804678011
0.200063792,-2.465843054,-1.387946563,-1.114256524,3.04110921
0.209996792,-3.830284979,-0.096902397,-2.194183169,4.415304392
0.219930792,-4.276992959,1.827454866,-2.420730323,5.243300045
0.229863792,-3.610408621,3.370272537,-1.767665917,5.245801195
0.239797792,-2.312999175,4.169575807,-1.962389892,5.156190618
0.249730792,-0.576365017,3.632005019,-2.055401552,4.212877002
0.259664792,0.745736343,3.299362768,-1.815283594,3.838902434
0.269597792,1.745660213,4.465815048,-2.068098488,5.221864128
0.279530792,2.268051921,5.195859218,-0.770021583,5.721358734
0.289464792,1.512891621,5.0072181,-0.725771902,5.280891877
0.299397792,0.504603309,3.291616377,-1.126014983,3.515291256
0.309331792,0.278904293,1.295735387,-0.886996887,1.594829544
0.319264792,0.110212998,-0.120259684,-0.687245475,0.706339606
0.329198792,-1.016991016,-0.799413782,-0.893121553,1.57194123
0.339131792,-2.207327417,-1.20292838,-0.629546028,2.591458897
0.349065792,-2.799295144,-1.953688651,-0.735245415,3.491924751
0.358998792,-3.245855482,-2.669624074,-0.734417449,4.266361389
0.368931792,-2.473562548,-3.771344753,0.534986757,4.5417798
0.378865792,-0.921386409,-4.353901094,1.856661708,4.822095017
0.388798792,-0.232102009,-4.795225543,2.207535724,5.284058414
0.398732792,0.065154355,-4.930646473,1.402957973,5.126773918
0.408665792,0.4603738,-5.535735644,0.593169769,5.586426723
0.418599792,0.76736607,-5.904609582,-0.349009631,5.96448428
0.428532792,1.073572183,-5.729089032,-1.600778781,6.044626628
0.438465792,1.468386708,-5.949652439,-1.534519887,6.317378804
0.448399792,2.776312956,-5.636059831,-0.496337246,6.302335655
0.458332792,2.837495297,-4.444136496,-0.578058078,5.304326526
0.468266792,0.711356761,-3.397842159,0.612440291,3.52511601
0.478199792,0.411894535,-3.455874605,0.414954602,3.504984124
0.488133792,1.247745534,-3.37417263,-0.62536505,3.651436881
0.498066792,0.937186755,-1.553432121,0.199535649,1.82518077
0.508000792,0.160532674,0.040489045,1.660038557,1.668273992
0.517933792,-1.183171808,-1.044820839,1.8781321,2.453350015
0.527866792,-0.69715329,-1.810388598,1.095309792,2.227831485
0.537800792,0.371067521,-1.675370541,0.208044518,1.728536976
0.547733792,0.330583447,-0.849075354,-0.292719802,0.957026256
0.557667792,-0.491185995,0.825133345,0.681406446,1.177464846
0.567600792,-1.423261991,2.032242485,2.501585037,3.523295603
0.577534792,-2.218391519,3.063489012,3.436498686,5.11035704
0.587467792,-2.35700035,3.918297561,3.188076221,5.57425658
0.597400792,-2.130107625,3.070850657,2.185262364,4.329301774
0.607334792,-1.33437525,1.321600546,1.240967588,2.251041062
0.617267792,-0.741093653,0.117300408,0.650918917,0.993314968
0.627201792,-1.967938608,-0.422275389,0.365284771,2.045612826
0.637134792,-3.265866993,-0.24023344,0.605630185,3.330223302
0.647068792,-4.234724314,-0.420054032,1.065705485,4.386919601
0.657001792,-4.34439206,-0.587044664,1.974412937,4.807979852
0.666935792,-4.130821631,-0.355765066,2.999324591,5.117245756
0.676868792,-4.038357856,-0.514490658,4.079532194,5.763299205
0.686801792,-4.893243588,0.986525268,3.305690625,5.987040623
0.696735792,-4.660443421,3.012045209,2.453809776,6.067399084
0.706668792,-4.193548806,3.351452104,1.478882314,5.568229135
0.716602792,-3.151269168,1.385298944,-0.97019224,3.576426081
0.726535792,-1.396573545,-1.320509455,-2.929340436,3.503597905
0.736469792,0.097743811,-2.38433316,-2.068344948,3.157950173
0.746402792,-0.130613349,-1.37291571,-0.103198678,1.382970485
0.756335792,-0.799667405,-0.226010672,1.68386713,1.877753257
0.766269792,-1.961398935,2.428670842,1.920912668,3.665437671
0.776202792,-2.58643486,4.525292341,1.392490434,5.395085325
0.786136792,-4.13812685,4.620614235,1.812560838,6.462162682
0.796069792,-4.528599233,4.009212409,1.844770226,6.323382983
0.806003792,-5.449313797,8.346474667,0.192980482,9.969749329
0.815936792,-8.145371379,19.26061492,2.165866565,21.02401817
0.825869792,-6.433256934,26.46763917,2.493553301,27.35215761
0.835803792,1.493515118,22.34630874,-0.658272521,22.4058346
0.845736792,8.856995065,12.273943,-4.321163411,15.74066363
0.855670792,14.12923997,4.239892083,-5.363714068,15.69654534
0.865603792,9.521752149,-0.518718195,-7.086537688,11.88073436
0.875537792,1.712055387,-1.735479333,-3.612751892,4.358325183
0.885470792,4.025519709,1.135852631,-0.743700927,4.248300977
0.895403792,3.315075698,2.133345521,-1.496957374,4.216843769
0.905337792,1.601033719,1.815094437,-1.970088044,3.120756909
0.915270792,0.568007592,1.77910424,-1.614516814,2.468705949
0.925204792,0.306096842,1.154550857,-1.901955703,2.245911497
0.935137792,1.085522868,-0.189321148,-2.267336807,2.52091622
0.945071792,2.396278729,-1.883819686,-3.200961145,4.420076991
0.955004792,2.999153268,-3.212255627,-4.15590911,6.048560743
0.964938792,3.172407729,-4.532987276,-5.189346004,7.585608506
0.974871792,3.18610454,-6.13800178,-6.528830259,9.510623141
0.984804792,3.839214554,-7.396212076,-6.539053531,10.5925796
0.994738792,3.562432508,-8.336971187,-6.495632107,11.15299289
1.004671792,0.520057792,-9.272948445,-6.292933699,11.21869188
1.014605792,-1.913266849,-10.1938662,-6.236391124,12.10239945
