Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.027034958,0.040480968,1.519847907,-0.808997369,1.722223305
0.036970958,0.136959515,1.455347125,-0.33233001,1.499078517
0.046906958,0.194431944,1.272995127,-0.260045561,1.313751905
0.056842958,0.32721461,1.156703363,-0.522031812,1.310553045
0.066778958,0.668257665,1.457230952,-1.057550227,1.920547536
0.076714958,0.644422076,1.970525416,-0.901590952,2.260777846
0.086649958,1.281876901,2.40194512,-1.466101617,3.092248809
0.096585958,2.315683486,2.827804121,-2.830548804,4.622864122
0.106521958,2.190975386,3.334863261,-3.934053469,5.603433127
0.116457958,1.524284921,3.396988465,-3.24393818,4.938229447
0.126393958,0.124092096,1.515503718,0.370823985,1.565139226
0.136329958,0.427362759,0.300967007,2.587432687,2.639702252
0.146265958,1.643409222,-0.319022149,2.570165859,3.067298738
0.156201958,1.853889543,0.00029967,3.092541488,3.605651035
0.166137958,1.920376625,1.098987544,2.701555134,3.491993721
0.176073958,1.825723359,1.928516095,2.243422279,3.476403837
0.186009958,2.299999353,2.281968148,1.664074305,3.64232329
0.195944958,2.884194669,2.271367585,1.241396043,3.875403686
0.205880958,3.285934345,2.150162698,0.918612197,4.03291613
0.215816958,3.646174285,1.962126914,0.909742556,4.239358496
0.225752958,2.437988234,1.129281384,1.552548022,3.103138481
0.235688958,-0.060230122,-0.096068986,3.389894623,3.391790453
0.245624958,-3.381203029,-1.9993288,5.540637365,6.791797405
0.255560958,-4.504349661,-4.166337911,5.811968052,8.451420596
0.265496958,-3.153479123,-4.779912562,4.081411489,7.032063312
0.275432958,-0.686324831,-3.82167817,1.164495801,4.053679351
0.285368958,1.572222441,-2.903164499,-2.158932352,3.944773303
0.295303958,2.921775601,-2.377017124,-4.567801598,5.9204556
0.305239958,1.29759948,-2.307172571,-4.967033111,5.628341462
0.315175958,-1.065215634,-2.820075856,-3.747591609,4.809569113
0.325111958,-1.61875546,-4.069270915,-0.981120102,4.487976345
0.335047958,-0.680173852,-5.47239685,1.571337465,5.734009521
0.344983958,0.037603444,-6.110072554,3.362087604,6.974097339
0.354919958,0.099287476,-5.992693793,4.253933587,7.349706652
0.364855958,0.11057728,-5.715250427,4.009206562,6.982123748
0.374791958,0.003547506,-5.549511684,3.226026989,6.419060886
0.384727958,-0.654208122,-5.083598524,2.464059945,5.687051401
0.394663958,-1.223612906,-4.687313131,1.739874101,5.147358043
0.404598958,-2.258151416,-4.527616609,1.300538875,5.223979454
0.414534958,-3.099883837,-4.223764001,0.772018408,5.295797821
0.424470958,-3.283552482,-4.045285052,0.435397711,5.228347657
0.434406958,-3.178383876,-4.152268633,0.27999129,5.23658801
0.444342958,-2.920021144,-4.299216472,0.387632976,5.211530013
0.454278958,-3.009714509,-4.368681394,0.431064924,5.322553477
0.464214958,-3.673151291,-4.163199418,0.055971887,5.552243029
0.474150958,-4.477873176,-3.809481463,-0.158953634,5.881221255
0.484086958,-4.99700243,-3.392879042,-0.167581785,6.042329446
0.494022958,-4.785492268,-2.885641563,0.034533071,5.588296342
0.503957958,-4.066205805,-2.063708106,0.254130517,4.567001545
0.513893958,-4.310982531,-2.456521423,0.381384933,4.976396523
0.523829958,-4.652644113,-3.196065856,0.44177907,5.661899235
0.533765958,-4.070347388,-2.784739378,0.078928933,4.932416349
0.543701958,-3.629992408,-2.470381078,-0.335330216,4.403643253
0.553637958,-3.057007374,-2.73584116,-0.364029228,4.118572351
0.563573958,-2.66332253,-3.225341988,-0.296992947,4.193366505
0.573509958,-1.916848853,-3.142902387,0.175438397,3.685501807
0.583445958,-0.534748921,-2.207992538,0.604874286,2.350970089
0.593381958,0.937454265,-0.686890111,0.662474331,1.337725966
0.603317958,2.471435038,0.667507614,0.730367521,2.66214092
0.613252958,3.418913185,1.223590394,0.949508592,3.75335948
0.623188958,4.191933805,0.940947245,1.141768551,4.44537132
0.633124958,4.776661218,0.546831023,1.545028503,5.050012835
0.643060958,5.158955685,0.945913139,2.68550979,5.892498474
0.652996958,6.38733758,1.832063642,4.019346219,7.765930889
0.662932958,6.883092005,2.235891066,4.007696226,8.27271379
0.672868958,7.014107643,2.274799316,3.230924617,8.050546058
0.682804958,7.694015447,2.60980852,2.717957159,8.567162034
0.692740958,8.221541303,2.841786276,2.722307779,9.114847792
0.702676958,7.974943169,2.687841952,3.058705113,8.954322413
0.712611958,7.545861036,2.389949995,3.727870997,8.749222932
0.722547958,7.661621287,2.388802187,4.819299114,9.361221106
0.732483958,7.345445965,2.471394693,5.307628745,9.393310973
0.742419958,6.552554167,2.231110967,4.760869935,8.401172822
0.752355958,6.142811115,2.178087246,3.884010658,7.587076594
0.762291958,5.730223392,2.779967758,3.420589289,7.229392225
0.772227958,5.539108318,2.36363694,3.237815268,6.837539635
0.782163958,5.174526821,1.712282259,3.171016092,6.305789515
0.792099958,4.977021325,1.413943576,3.263278723,6.117104358
0.802035958,5.014896664,1.155235566,3.571471719,6.264117496
0.811971958,5.386481956,0.880981271,3.913588214,6.716136432
0.821906958,6.785279782,0.675877903,4.337187705,8.08133837
0.831842958,7.709211191,1.975293235,3.596723212,8.733277645
0.841778958,5.344439306,3.527444232,2.116019052,6.744140489
0.851714958,2.50341463,4.131506925,1.723752158,5.129108673
0.861650958,-0.041997042,4.253445052,0.413651916,4.273718109
0.871586958,-0.706557074,2.437047271,-0.791361874,2.657945807
0.881522958,-0.423210944,0.277862319,-1.532785895,1.614232812
0.891458958,-0.684614228,-0.754160426,-1.556484368,1.860133914
0.901394958,-0.359172823,-1.091336901,-1.445382008,1.846388501
0.911330958,0.649102918,-1.148969397,-1.114697405,1.727430339
0.921265958,1.641294723,-1.564571944,-0.554268681,2.334298076
0.931201958,1.248061284,-1.608123176,0.205869646,2.04599595
0.941137958,0.796241083,0.12206852,1.063931878,1.334485529
0.951073958,-0.629117135,0.249163892,1.851786592,1.971543709
0.961009958,-1.159354929,-1.351083376,1.897483167,2.601917084
0.970945958,-2.275469114,-0.943681549,0.981367731,2.651674411
0.980881958,-3.647957978,0.055020837,0.424436813,3.672978533
0.990817958,-2.903413298,1.022062598,0.209859493,3.085200437
1.000753958,-2.118704093,2.101530236,-0.131617316,2.987082102
1.010689958,-1.44816002,2.920005649,-0.712236475,3.336297533
1.020624958,-0.340252987,3.635032707,-1.421768028,3.917991731
1.030560958,-0.293955903,4.213087862,-1.379413721,4.442893384
