Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.001347875,2.476233264,-0.764626942,0.322738164,2.611617403
0.011281875,2.274106128,-0.256132604,1.077860531,2.529613788
0.021216875,2.165725647,0.013462045,1.095496829,2.427068625
0.031150875,2.545405825,0.144376525,1.61416715,3.017527296
0.041085875,2.61297391,0.412839153,2.261456847,3.480266641
0.051019875,2.670440345,0.554951636,2.335438596,3.590751508
0.060954875,2.443549667,0.555258615,2.05233995,3.23903479
0.070888875,1.813877339,0.529237336,1.918604772,2.692821463
0.080823875,1.782255304,0.519781803,1.612504787,2.459019882
0.090757875,1.700612679,0.539347757,1.148550444,2.121826479
0.100692875,1.695848075,0.467850927,0.675447548,1.884413589
0.110626875,1.94389281,0.437888625,0.817890984,2.153929286
0.120561875,1.491864156,0.674779796,1.311894168,2.098106942
0.130495875,1.496103388,0.815564377,0.320252001,1.733791205
0.140430875,1.587204762,0.116468934,-1.287493152,2.04705217
0.150364875,1.421939351,-0.012356921,-2.205790184,2.624418897
0.160299875,1.160486658,0.119754485,-1.910845663,2.238839335
0.170233875,0.756021595,0.619673882,-1.330335116,1.650865195
0.180168875,0.016011138,1.408225876,-0.501591262,1.494975006
0.190102875,-0.661544623,2.340403029,0.136365255,2.435923461
0.200037875,-0.470819266,3.442524827,-0.044678282,3.474858862
0.209971875,-0.668943982,4.082506673,-0.985364888,4.252680419
0.219906875,-1.116720249,4.086358234,-1.091605873,4.374584679
0.229840875,-0.920055875,4.674561231,0.151834356,4.766663318
0.239775875,-0.24303104,4.893791472,1.44816119,5.109347306
0.249709875,0.2450112,4.635193098,1.752763411,4.961574862
0.259644875,0.485315976,4.141098112,1.641203798,4.480823036
0.269578875,-0.140446904,3.47620245,0.813459379,3.572873489
0.279513875,-0.741626335,2.303383137,-0.00666758,2.419840481
0.289447875,-1.155040561,1.168532134,-0.284327878,1.66746166
0.299382875,-1.253928965,0.245409395,-0.33309044,1.320421471
0.309316875,-1.456978791,-0.54995519,-0.141118457,1.563698285
0.319251875,-1.607808303,-0.745335224,0.306774169,1.798522317
0.329185875,-1.345541385,-1.02389073,0.129920454,1.695792786
0.339120875,-0.969253178,-1.456013415,-0.424563697,1.79991142
0.349054875,-0.993312131,-1.799507514,-1.224465137,2.392532373
0.358989875,-1.034792864,-2.240326763,-1.525765436,2.901348039
0.368923875,-1.114697405,-2.639516761,-1.599927426,3.281671343
0.378858875,-0.896823717,-2.660446869,-1.653443483,3.258242728
0.388792875,-0.749177429,-2.525103123,-1.803424564,3.192139213
0.398727875,-0.822181378,-1.703310292,-1.834131217,2.634631946
0.408661875,-0.144062822,-2.915082586,-2.152222087,3.626364639
0.418596875,-2.963774982,-3.579609289,-2.690626688,5.370012736
0.428530875,-2.219663288,-2.531868936,-3.326358193,4.733067108
0.438465875,-2.332166348,-2.934897045,-2.804187802,4.681462354
0.448399875,-2.239249999,-3.011572754,-2.633503484,4.584664831
0.458334875,-2.095621917,-2.912989867,-1.840316986,4.032853555
0.468268875,-2.893701949,-3.689287267,-2.28489658,5.215851215
0.478203875,-2.811421977,-3.153208104,-0.811759009,4.301833048
0.488137875,-1.264830514,-2.811623706,-1.312677695,3.350842703
0.498072875,-1.40026957,-3.002178032,-1.79479232,3.767639483
0.508006875,-1.332025546,-2.948645604,-0.404347826,3.260720797
0.517941875,-0.715709136,-2.895758123,0.54344607,3.031994113
0.527875875,-0.722370869,-2.975674358,0.677164875,3.136081923
0.537810875,-0.70761162,-3.011552289,0.278141524,3.106046377
0.547744875,-0.039835911,-3.065401052,0.472575477,3.101870095
0.557679875,-0.041860509,-3.101045678,1.318774294,3.370074515
0.567613875,-0.020510863,-2.611465913,2.197419895,3.413038105
0.577548875,-0.128331766,-1.659650302,2.771049292,3.232587562
0.587482875,0.657076766,-0.682934908,3.686191167,3.806068218
0.597417875,1.669244413,0.251591656,5.218479171,5.484724253
0.607351875,2.649255298,1.012720794,6.159798446,6.78139174
0.617286875,3.722464661,1.515489539,6.442314856,7.593212258
0.627220625,4.443847058,1.84528595,6.268674186,7.902476382
0.637155625,4.915662398,2.215660869,5.76418636,7.892954725
0.647089625,4.458479131,2.097128452,6.122102616,7.858506496
0.657024625,3.252067272,1.430248244,6.724772794,7.605532244
