"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.672916664E-3,-3.921683684E-1,-1.161265799E-1,-7.017530018E-1,8.122429977E-1
1.471391667E-2,-3.445749566E-1,1.290509731E-2,6.870302975E-2,3.515942954E-1
2.475591666E-2,-3.233884478E-1,1.263524830E-2,1.929008138E-1,3.767631373E-1
3.479791665E-2,-1.548412871E-1,-4.065598279E-2,1.116625232E-1,1.951851742E-1
4.483891666E-2,1.907513773E-1,-5.575945777E-1,-5.402599221E-1,7.994864505E-1
5.488091666E-2,-1.889697307E-1,6.893440408E-1,3.831259418E-1,8.109810435E-1
6.492191667E-2,-3.900911450E-1,6.198469591E-1,1.068497969E0,1.295403128E0
7.496391666E-2,-7.123662829E-2,-2.140197873E-2,1.034354907E-1,1.274033070E-1
8.500591666E-2,9.290377825E-2,1.532327181E-1,1.631911111E-1,2.423689680E-1
9.504691666E-2,2.702591845E-1,1.002952436E-1,6.711878514E-1,7.304740205E-1
1.050889167E-1,3.804385614E-1,-1.448536581E-1,6.449566573E-1,7.626828771E-1
1.151309167E-1,4.059277439E-1,-6.588788778E-2,4.457782727E-1,6.064955198E-1
1.251719167E-1,2.692474701E-1,2.134125540E-1,3.106064343E-1,4.631581537E-1
1.352139167E-1,2.324236062E-1,3.092712227E-1,6.306561220E-1,7.398625319E-1
1.452549167E-1,6.115383580E-2,-2.222526670E-2,6.312478602E-2,9.065590286E-2
1.552969167E-1,1.999228813E-1,-2.207537332E-1,-4.008125997E-1,4.993516889E-1
1.653389167E-1,1.898243013E-1,4.736425942E-1,6.701552331E-2,5.146471148E-1
1.753799167E-1,-3.556155230E-1,8.462493950E-1,9.142297089E-2,9.224741722E-1
1.854219167E-1,-4.887273873E-1,7.219934312E-1,7.419473469E-2,8.750050471E-1
1.954629167E-1,-3.594999745E-1,3.470196775E-1,-4.048068327E-1,6.430641181E-1
2.055049167E-1,-8.317459613E-2,8.238551438E-2,-2.494404656E-1,2.755466064E-1
2.155469167E-1,1.908747536E-1,-4.166667402E-2,1.678969502E-1,2.576017647E-1
2.255879167E-1,3.135104540E-1,-1.174027348E-1,2.902528614E-1,4.430789212E-1
2.356299167E-1,4.363174778E-1,-1.539808694E-1,3.360231113E-1,5.718343999E-1
2.456719167E-1,4.626743871E-1,-2.442639256E-1,4.692823255E-1,7.028217091E-1
2.557129167E-1,1.797210436E-1,-1.592667523E-1,1.023338753E-1,2.610321320E-1
2.657549167E-1,1.101060090E0,-9.578464293E-1,-4.457958144E-1,1.525954459E0
2.757959167E-1,6.781423835E-1,-1.495262851E0,-6.393585330E-1,1.761949891E0
2.858379167E-1,-6.588949576E-1,1.878727931E-1,3.609842902E-1,7.744342511E-1
2.958799167E-1,-1.081400581E0,1.317313367E0,1.172934503E0,2.068941051E0
3.059209167E-1,-3.174298427E-1,9.981273133E-1,4.867239851E-1,1.154954578E0
3.159629167E-1,9.794513796E-2,1.107117659E-1,-4.025942463E-1,4.288734922E-1
3.260039167E-1,3.029588610E-1,-4.774459156E-1,-6.098417884E-1,8.316523797E-1
3.360459167E-1,5.348591414E-1,-2.302765086E-1,-9.316836476E-2,5.897303755E-1
3.460879167E-1,3.063793360E-1,2.384289891E-1,-5.098590785E-1,6.408377020E-1
3.561289167E-1,3.814062756E-1,9.113558024E-2,-7.179357558E-1,8.180514596E-1
3.661709167E-1,4.701268096E-1,-1.472337672E-1,-3.580951810E-1,6.090395373E-1
3.762129167E-1,8.889621359E-1,-2.423553944E-1,-1.598646301E-1,9.351719180E-1
3.862539167E-1,9.450258243E-1,-5.941466922E-1,-4.253188652E-1,1.194562781E0
3.962959167E-1,6.917971944E-2,-9.831625342E-1,-1.542276219E0,1.830303346E0
4.063369167E-1,-6.714670560E-1,-1.296780869E-1,-2.529639392E0,2.620450318E0
4.163789167E-1,2.290339981E-2,-1.128077003E-1,-6.882435948E-1,6.978032593E-1
4.264209167E-1,2.843758249E-1,6.609926462E-2,3.095252842E-1,4.254933891E-1
4.364619167E-1,1.476566086E0,8.149840406E-1,6.453975374E-1,1.805819585E0
4.465039167E-1,9.401724891E-1,1.085012260E-1,6.047757608E-1,1.123143155E0
4.565459167E-1,1.576606976E0,-4.501832727E-1,3.067694914E-1,1.668071358E0
4.665869167E-1,1.262102787E0,-1.436663225E0,-6.434094840E-1,2.017642295E0
4.766289167E-1,1.495617192E0,-1.461939569E0,-1.640091366E-1,2.097864887E0
4.866699167E-1,1.495267236E0,-1.206967929E0,1.002075938E0,2.167199085E0
4.967119167E-1,1.433261461E-1,-9.064002872E-1,-5.329678595E-2,9.192085792E-1
5.067539167E-1,2.338023797E-2,-2.944301122E-1,-1.840814584E0,1.864358887E0
5.167949167E-1,1.659262924E-1,-4.893297967E-1,-2.260739978E0,2.319034375E0
5.268369167E-1,-2.003643899E0,4.153914624E-1,-5.794729875E0,6.145407494E0
5.368789167E-1,-6.749450383E0,4.299952928E0,-4.082504919E0,8.983959154E0
5.469199167E-1,-2.738779971E0,2.666083877E0,3.029721926E0,4.877308061E0
5.569619167E-1,3.967458027E0,-3.756426459E0,2.412162398E0,5.972435883E0
5.670029167E-1,3.550427590E0,-4.831481788E0,3.314669609E-1,6.004883237E0
5.770449167E-1,-2.646551546E0,-1.056414113E0,-1.438034397E0,3.191894232E0
5.870869167E-1,-3.052837724E0,5.056819446E0,-6.384259021E-1,5.941281740E0
5.971277083E-1,-1.147696970E0,3.069280972E0,1.657852868E0,3.672352128E0
6.071697083E-1,9.295901982E-1,-2.087025633E0,-2.525020677E-1,2.298602015E0
6.172117083E-1,9.901974656E-1,-1.062894582E0,-1.724027562E0,2.254441604E0
