"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.628041672E-3,1.417534826E-1,-1.830470860E-2,-5.493137509E-2,1.531227225E-1
1.464204167E-2,3.557446003E-3,-1.031647646E-1,-8.771525145E-2,1.354606564E-1
2.465704168E-2,2.568974197E-2,-1.062333834E-1,-2.517811060E-3,1.093244436E-1
3.467204167E-2,-5.775879622E-3,-6.653546691E-3,1.136640251E-1,1.140050046E-1
4.468704168E-2,-3.448687792E-3,8.049803317E-2,2.253475982E-1,2.393185467E-1
5.470204167E-2,3.167497018E-2,9.874193072E-2,2.295894608E-1,2.519217996E-1
6.471704168E-2,8.682239989E-2,4.481773853E-2,4.615879744E-2,1.080619886E-1
7.473204167E-2,1.367227027E-2,-6.356157303E-2,-3.495494753E-2,7.381634573E-2
8.474704168E-2,-1.197588520E-1,-3.356594145E-2,1.030025044E-1,1.614879902E-1
9.476104168E-2,-2.876652857E-2,1.193252993E-1,1.104191127E-1,1.651012437E-1
1.047760417E-1,-1.868505171E-2,-3.729178727E-2,-3.228510886E-2,5.274596486E-2
1.147910417E-1,-1.462328335E-2,-9.543123722E-2,4.740016133E-2,1.075534135E-1
1.248060417E-1,7.563696871E-2,-9.617617249E-2,1.597029546E-1,2.011860852E-1
1.348210417E-1,1.073326600E-1,-4.032122970E-2,2.108424103E-1,2.400012989E-1
1.448360417E-1,1.434786853E-1,-1.331586421E-2,1.190042871E-1,1.868835620E-1
1.548510417E-1,1.058196929E-1,-1.001043320E-2,5.479776621E-2,1.195859999E-1
1.648660417E-1,4.822608054E-2,-1.397835374E-2,1.540273547E-1,1.620048617E-1
1.748800417E-1,-3.419976136E-2,-2.920157969E-2,5.785088986E-2,7.327401580E-2
1.848950417E-1,1.263290942E-2,4.479084134E-2,-8.735740185E-3,4.735106150E-2
1.949100417E-1,5.671974599E-2,5.910891831E-2,7.611203671E-2,1.118214467E-1
2.049250417E-1,1.279516965E-2,-4.977734685E-3,7.518993080E-2,7.643310737E-2
2.149400417E-1,-2.096429637E-2,-2.428407133E-2,-3.545313030E-2,4.781362035E-2
2.249550417E-1,3.006640116E-2,-3.553411424E-2,-5.583535463E-2,7.269283720E-2
2.349700417E-1,7.509551654E-2,-1.402045369E-2,-6.227372378E-2,9.855925324E-2
2.449850417E-1,4.056973636E-2,-2.072604060E-2,1.650142729E-2,4.845378592E-2
2.549990417E-1,1.894889635E-1,5.321550965E-3,3.621701056E-1,4.087805910E-1
2.650140417E-1,1.774777958E-2,1.199263930E-3,5.026482922E-1,5.029629485E-1
2.750290417E-1,-4.146523744E-2,3.191761136E-2,2.676358312E-1,2.727032050E-1
2.850440417E-1,4.712828407E-2,9.522249162E-2,2.304571876E-1,2.537694099E-1
2.950590417E-1,-3.157611569E-2,1.091569912E-1,2.782458964E-1,3.005546185E-1
3.050740417E-1,-9.920095542E-2,1.659100664E-1,6.211011869E-1,6.504872512E-1
3.150890417E-1,5.313891113E-2,1.592723072E-1,1.212634174E0,1.224203027E0
3.251040417E-1,-2.816309592E-2,1.621473831E-1,1.758242252E0,1.765927730E0
3.351180417E-1,-9.103937527E-2,5.512795848E-1,2.123649960E0,2.195924977E0
3.451330417E-1,1.375867567E-1,5.228732264E-1,2.385262575E0,2.445772695E0
3.551480417E-1,-3.604311436E-1,-1.671789122E-1,1.896406403E0,1.937580099E0
3.651630417E-1,-1.822734994E0,-2.297734727E0,-2.125229878E0,3.621953860E0
3.751780417E-1,1.621199012E-2,-4.686052179E-1,-1.579792539E0,1.647907202E0
3.851930417E-1,-1.124752569E0,-1.267618466E0,3.075894757E0,3.511844739E0
3.952080417E-1,-2.270150194E0,-3.150023711E0,8.832089435E0,9.647903144E0
4.052230417E-1,9.311368416E-2,-2.607169379E0,1.204110395E0,2.873305444E0
4.152370417E-1,1.563740470E0,-2.490816804E0,-4.398030031E0,5.290758052E0
4.252520417E-1,2.274570105E0,-1.316177253E0,-3.963593602E0,4.755635180E0
4.352670417E-1,2.781859624E-1,-7.530243123E-1,-1.462093350E-1,8.159719445E-1
4.452820417E-1,-1.447121555E0,-1.414731488E0,3.131315252E0,3.728372458E0
4.552970417E-1,2.675992861E-1,-1.707832528E0,2.907264858E0,3.382379381E0
4.653120417E-1,1.784903508E0,-3.434351004E0,3.692236018E-1,3.888055223E0
4.753270417E-1,1.229388785E0,-5.767069037E0,-1.808861890E0,6.167857278E0
4.853410417E-1,3.606231662E0,-5.201933305E0,-2.225181305E-1,6.333603337E0
4.953560417E-1,3.488528088E0,-5.788427746E0,1.155118622E0,6.856385566E0
5.053710417E-1,2.549529866E0,-6.005343075E0,-1.261288855E0,6.644930215E0
5.153860417E-1,3.914661178E-1,-4.774555635E0,-1.401132619E0,4.991272368E0
5.254010417E-1,7.962438606E-1,-6.339523728E0,1.169326625E0,6.495451497E0
5.354160417E-1,-4.751384582E-1,-1.560181095E1,2.654655787E0,1.583317589E1
5.454310417E-1,-1.077720051E-1,-1.242568409E1,3.750080768E0,1.297968974E1
5.554450417E-1,2.881837949E0,-9.812621891E-1,-8.572228646E-1,3.162703983E0
5.654600417E-1,-1.931871520E0,6.772579629E0,-2.671384671E0,7.532347474E0
5.754750417E-1,-2.431764165E-1,2.155786550E1,-1.299001057E0,2.159833566E1
5.854900417E-1,3.459456609E0,2.010785425E1,-7.031459255E0,2.158089576E1
5.955050417E-1,-2.689108166E-1,8.043987091E0,-3.204111625E0,8.662815516E0
6.055200417E-1,-3.127955149E0,6.394094038E-1,2.615263095E0,4.127050867E0
6.155350417E-1,-2.529337091E0,-1.867215348E0,2.567926376E0,4.059345409E0
6.255500417E-1,-5.987665042E-1,-2.657385267E0,4.935495130E-1,2.768358522E0
6.355640417E-1,1.096265446E0,-2.673030662E0,-5.696954636E-1,2.944731527E0
6.455790417E-1,1.416104999E0,-3.399508615E0,-1.195966174E0,3.871995259E0
6.555940417E-1,1.871944137E0,-3.381984510E0,-2.565089307E0,4.639146175E0
6.656090417E-1,1.951066613E0,-2.653221465E0,-3.469077033E0,4.783381704E0
6.756240417E-1,1.327795086E0,-1.618584137E0,-3.758967952E0,4.302638081E0
6.856390417E-1,-1.861130735E-1,-7.107331556E-1,-3.339797434E0,3.419652993E0
6.956540417E-1,-2.087227654E0,-6.882172823E-4,-1.786195743E0,2.747183100E0
7.056680417E-1,-3.845366702E0,8.466417432E-1,-1.336176485E0,4.158006123E0
7.156830417E-1,-4.073163992E0,2.829141964E0,-2.811914313E0,5.701014932E0
7.256980417E-1,-2.803147582E0,6.595939338E0,-4.304204439E0,8.360037558E0
7.357130417E-1,-2.968542509E0,1.161183821E1,-4.827904462E0,1.292113357E1
7.457280417E-1,-2.516010702E0,1.582092717E1,-5.163637551E0,1.683137543E1
7.557430417E-1,-2.410885220E0,1.794936980E1,-4.388922408E0,1.863477619E1
7.657580417E-1,-2.380847635E0,1.784396789E1,-3.157771271E0,1.827695666E1
7.757720417E-1,-2.376402581E0,1.606799775E1,-1.963880932E0,1.636107177E1
7.857870417E-1,-2.326164766E0,1.411888572E1,-9.249125719E-1,1.433908783E1
7.958020417E-1,-2.066362157E0,1.217394275E1,-7.851173401E-2,1.234831562E1
8.058170417E-1,-1.344591067E0,1.006526254E1,7.101432446E-1,1.017947634E1
8.158320417E-1,-4.697137038E-1,7.936459134E0,1.147958267E0,8.032796695E0
8.258470000E-1,3.361051916E-1,5.804888243E0,1.763933200E0,6.076278018E0
8.358620000E-1,7.773106494E-1,3.489201980E0,2.604508896E0,4.422918594E0
8.458770000E-1,1.014520055E0,8.276833159E-1,2.605243306E0,2.915750898E0
8.558910000E-1,1.008647916E0,-1.979740920E0,2.028870395E0,3.008830306E0
8.659060000E-1,8.157585043E-1,-4.655522697E0,1.548474852E0,4.973643321E0
8.759210000E-1,4.044995615E-1,-7.104841812E0,1.519961489E0,7.276859212E0
8.859360000E-1,-1.993771168E-1,-8.963387493E0,1.507825009E0,9.091512682E0
8.959510000E-1,-8.293461909E-1,-1.006917783E1,1.399128778E0,1.019969209E1
9.059660000E-1,-1.305386217E0,-1.110825963E1,1.835373166E0,1.133428691E1
9.159810000E-1,-1.217793099E0,-1.242940760E1,2.154407777E0,1.267338417E1
9.259950000E-1,-4.953234851E-1,-1.311539593E1,1.909740393E0,1.326295834E1
9.360100000E-1,3.538849299E-1,-1.302670302E1,1.212338305E0,1.308778019E1
9.460250000E-1,1.075855009E0,-1.200143819E1,9.046028531E-1,1.208347173E1
9.560400000E-1,1.451086844E0,-1.037165313E1,9.859294367E-1,1.051897802E1
9.660550000E-1,1.381679517E0,-8.958088746E0,1.286889135E0,9.154915396E0
9.760700000E-1,1.331513184E0,-7.969350892E0,1.218559815E0,8.171191407E0
9.860850000E-1,1.202590704E0,-7.428172372E0,5.725371738E-1,7.546639517E0
9.960990000E-1,9.002800065E-1,-7.465854169E0,1.458330667E-1,7.521352926E0
1.006114000E0,6.173510751E-1,-7.875776145E0,2.757429957E-2,7.899983075E0
1.016129000E0,4.338329228E-1,-8.573182912E0,3.826527558E-2,8.584237909E0
1.026144000E0,1.984793499E-1,-9.320827201E0,-4.903241158E-2,9.323069127E0
1.036159000E0,1.300542822E-1,-9.811734284E0,-5.971294300E-1,9.830748056E0
1.046174000E0,-6.537333280E-3,-1.000721723E1,-1.208503554E0,1.007992660E1
1.056189000E0,-2.500178050E-1,-9.987204548E0,-1.536740659E0,1.010783535E1
1.066203000E0,-3.986815819E-1,-9.739551576E0,-1.511149735E0,9.864146463E0
1.076218000E0,-5.185717222E-1,-9.377989581E0,-6.891083980E-1,9.417562084E0
1.086233000E0,-4.747705952E-1,-8.780849115E0,1.716975673E-1,8.795350951E0
1.096248000E0,-1.710928190E-1,-7.853007672E0,6.443642613E-1,7.881256724E0
1.106263000E0,4.920358881E-1,-6.253531651E0,2.308840928E0,6.684272875E0
1.116278000E0,1.871052291E0,-3.465779203E0,3.506025589E0,5.273014089E0
1.126293000E0,2.657399593E0,2.825251812E-1,5.027973962E0,5.694042082E0
1.136307000E0,3.385987221E0,5.482003241E0,5.715765567E0,8.613201786E0
1.146322000E0,1.679599832E0,1.357979816E1,4.343174962E0,1.435601416E1
1.156337000E0,-2.738703372E0,2.647714206E1,-1.788869090E0,2.667844824E1
1.166352000E0,-5.127620457E0,3.118871149E1,-6.021552726E0,3.217588092E1
1.176367000E0,-2.888909279E0,2.254165953E1,-6.242424281E0,2.356777614E1
1.186382000E0,-4.894467410E-1,1.791829769E1,-6.524346614E0,1.907543051E1
1.196397000E0,-8.642175964E-1,1.846997898E1,-3.842160966E0,1.888515810E1
1.206411000E0,-2.450175001E0,2.029437575E1,-3.418330218E0,2.072558868E1
1.216426000E0,-4.452422585E0,2.180240541E1,-4.607307726E0,2.272435331E1
1.226441000E0,-4.741916770E0,1.951990970E1,-4.011482298E0,2.048425346E1
1.236456000E0,-3.617423233E0,1.456919734E1,-2.249494028E0,1.517917934E1
1.246471000E0,-2.084468207E0,1.099504584E1,-1.236604249E0,1.125900665E1
1.256486000E0,-7.611966732E-1,8.933461443E0,-5.891631103E-1,8.985169275E0
1.266500000E0,9.001057595E-2,6.880344983E0,1.647371149E-1,6.882905441E0
1.276515000E0,1.096721309E0,4.263174527E0,6.416781235E-1,4.448505984E0
1.286530000E0,1.848745748E0,9.112528914E-1,1.342476275E0,2.459773408E0
1.296545000E0,2.291692214E0,-2.763798745E0,2.069657063E0,4.144142501E0
1.306560000E0,2.346499628E0,-5.943019942E0,2.507013592E0,6.863720834E0
1.316575000E0,2.178285759E0,-8.314467008E0,2.423535233E0,8.930219118E0
1.326590000E0,1.618655181E0,-9.613914793E0,2.264584522E0,1.000878341E1
1.336604000E0,1.192656357E0,-1.058053555E1,2.813693036E0,1.101303910E1
1.346619000E0,1.194695866E0,-1.172965844E1,3.042220935E0,1.217650580E1
1.356634000E0,1.654799452E0,-1.269122487E1,2.668188583E0,1.307382041E1
1.366649000E0,2.062997085E0,-1.339246273E1,1.547382592E0,1.363848994E1
1.376664000E0,1.904221206E0,-1.304537903E1,7.160523677E-1,1.320305659E1
1.386679000E0,1.392815539E0,-1.133528363E1,2.197980424E-1,1.142264861E1
1.396694000E0,6.736113761E-1,-9.605382535E0,2.015723077E-1,9.631082874E0
1.406708000E0,3.978743738E-1,-8.896300634E0,5.517362523E-1,8.922268875E0
1.416723000E0,4.356090876E-1,-8.785082499E0,6.476586556E-1,8.819687722E0
1.426738000E0,4.124924129E-1,-8.838873374E0,5.762863719E-1,8.867239621E0
1.436753000E0,3.505291763E-1,-8.926962848E0,4.618575311E-1,8.945772676E0
1.446768000E0,3.759117202E-1,-9.078741948E0,4.223503069E-1,9.096331390E0
1.456783000E0,4.415143369E-1,-9.261572687E0,4.698683261E-1,9.283988356E0
1.466798000E0,5.970334625E-1,-9.358041220E0,5.763518608E-1,9.394762685E0
1.476812000E0,7.423185720E-1,-9.362400320E0,5.887607487E-1,9.410218692E0
1.486827000E0,6.189350127E-1,-9.328177151E0,5.031575116E-1,9.362218594E0
1.496842000E0,3.212951446E-1,-9.234976627E0,4.080163693E-1,9.249567624E0
1.506857000E0,8.452062517E-2,-8.954254727E0,5.515222442E-1,8.971621829E0
1.516872000E0,9.412036456E-2,-8.366345844E0,9.718423978E-1,8.423127630E0
1.526887000E0,3.640108822E-1,-7.521669935E0,3.625238987E-1,7.539193996E0
1.536901000E0,5.788726685E-1,-6.649570584E0,3.783348063E-1,6.685433400E0
1.546916000E0,1.438781086E0,-5.387864823E0,3.534209533E-1,5.587851531E0
1.556931000E0,2.483246414E0,-3.202418271E0,7.619627316E-2,4.053122427E0
1.566946000E0,2.432362335E0,5.854700089E-2,2.781332206E0,3.695351556E0
1.576961000E0,2.595048686E0,5.266259694E0,5.377911108E0,7.961764674E0
1.586976000E0,1.301572224E0,1.407645365E1,4.499482731E0,1.483529515E1
1.596991000E0,-4.734484667E0,2.712691741E1,-1.422695396E0,2.757370224E1
1.607005000E0,-9.490486502E0,3.060519211E1,-4.358956597E0,3.233802129E1
1.617020000E0,-5.694050762E0,2.181640833E1,-5.830049397E0,2.328878190E1
1.627035000E0,-2.053778657E0,1.728969511E1,-6.674911247E0,1.864687652E1
1.637050000E0,-1.377354332E0,1.763944749E1,-4.790995667E0,1.833032602E1
1.647065000E0,-2.208751068E0,1.923388613E1,-5.319876323E0,2.007789932E1
1.657080000E0,-3.710411503E0,2.051041400E1,-5.756753379E0,2.162370101E1
1.667094000E0,-3.566712086E0,1.870713971E1,-4.481641706E0,1.956434572E1
1.677109000E0,-2.715241712E0,1.475739114E1,-2.052329425E0,1.514480726E1
1.687124000E0,-1.820695046E0,1.204845215E1,-7.344675887E-1,1.220735730E1
1.697139000E0,-1.283574933E0,1.010376762E1,-5.601278108E-2,1.018512750E1
1.707154000E0,-6.788932391E-1,7.630459721E0,9.337360203E-1,7.717297101E0
1.717169000E0,-1.774724968E-1,4.162846831E0,1.559070007E0,4.448762694E0
1.727184000E0,5.027024520E-1,1.809964675E-1,1.980299914E0,2.051111217E0
