Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
5.008792417,-4.460532088,0.76030088,-1.458475678,4.754109301
5.018726417,-5.356783363,0.492884611,-1.711520952,5.645118884
5.028661417,-5.893373573,0.424977973,-1.905046248,6.208192938
5.038595417,-5.908273448,0.795336227,-1.900436304,6.257148951
5.048529417,-5.740883451,1.290488681,-1.676913621,6.118426524
5.058463417,-5.837743748,1.656517656,-1.44881023,6.238778237
5.068397417,-5.997114873,1.655191508,-1.221488028,6.340116618
5.078331417,-5.886065138,1.534060296,-1.013762183,6.166588811
5.088266417,-5.641973121,1.487124988,-0.423709127,5.850036824
5.098200417,-5.110634295,1.49411358,0.407452698,5.340128837
5.108134417,-4.279598771,1.660275662,1.111827006,4.723096463
5.118068417,-3.4230612,1.877085448,1.605844223,4.22131892
5.128002417,-2.795516381,2.024562167,1.895578437,3.937890478
5.137936417,-2.54912173,2.020190496,1.877181927,3.755396547
5.147871417,-2.503583615,1.74798682,1.565544044,3.431372465
5.157805417,-2.766815323,1.207521661,0.995346962,3.178693312
5.167739417,-3.062979135,0.557901849,0.300542188,3.127846106
5.177672875,-3.172995082,0.041334552,-0.306511081,3.188033152
5.187606875,-2.973366462,-0.286236117,-0.744196186,3.078419594
5.197540875,-2.327436243,-0.447303519,-1.117397064,2.62023207
5.207475875,-1.481744088,-0.39459584,-1.380879618,2.063516401
5.217409875,-0.715020334,-0.348510425,-1.516275405,1.712251353
5.227343875,-0.173123192,-0.26973352,-1.469572524,1.504118085
5.237277875,0.190020475,-0.289486584,-1.38886516,1.431382792
5.247211875,0.471752774,-0.382129869,-1.140888838,1.292362664
5.257145875,0.853905154,-0.415494666,-0.83999229,1.267823677
5.267079875,1.361872659,-0.383043496,-0.54849631,1.51732253
5.277014875,1.974446266,-0.312647405,-0.16123699,2.005538288
5.286948875,2.471502281,-0.234670984,0.18387973,2.489418758
5.296882875,2.901809406,-0.057017369,0.500271362,2.945168967
5.306816875,3.18839197,0.114303418,0.760783567,3.279893331
5.316750875,3.32500047,0.290395826,0.954298339,3.471403632
5.326684875,3.270703225,0.317478959,1.06030485,3.45290296
5.336619875,3.11875631,0.211044432,1.152377447,3.331539352
5.346553875,2.902437982,0.181975584,1.299349551,3.185211235
5.356487875,2.867137756,0.193545762,1.354304023,3.176803151
5.366421875,3.016605452,0.212035973,1.273676766,3.281329032
5.376355875,3.162333269,0.167282993,1.123979275,3.360307235
5.386289875,3.248221266,0.077507621,0.879095544,3.365970558
5.396223875,3.247483347,-0.014727967,0.631698096,3.308384422
5.406158875,3.184060353,-0.147417077,0.44662495,3.218609323
5.416092875,3.147429886,-0.26679544,0.27985706,3.171090454
5.426026875,3.074826179,-0.414482074,0.131158931,3.105407233
5.435960875,2.976839708,-0.55173289,0.092271968,3.028943371
5.445894875,2.847976431,-0.672431554,0.093170704,2.927766166
5.455828875,2.692729347,-0.795525238,0.086593719,2.809119117
5.465763875,2.484258567,-0.919351724,0.140031423,2.652613243
5.475697875,2.246975048,-1.01637852,0.213692928,2.475396297
5.485631875,1.988571385,-1.116402599,0.29700994,2.299779516
5.495565875,1.708031334,-1.202420404,0.381595689,2.123393777
5.505499875,1.373716779,-1.3332539,0.45978758,1.968773316
5.515433875,0.978160826,-1.430339315,0.448677944,1.789966775
5.525368875,0.601381452,-1.499677206,0.37103273,1.657816835
5.535302875,0.246815066,-1.561906345,0.294503751,1.608478028
5.545236875,-0.173783927,-1.681124786,0.278818558,1.712927666
5.555170875,-0.5533992,-1.905126501,0.188071562,1.992769072
5.565104875,-0.956085833,-2.198472978,0.069472487,2.398376531
5.575038875,-1.331211614,-2.546103105,-0.031979592,2.873288722
5.584972875,-1.630542862,-2.852165668,-0.145589823,3.288573463
5.594907875,-1.822313409,-3.027290362,-0.223081839,3.540491294
5.604841875,-2.006382004,-2.978182814,-0.293085289,3.602921121
5.614775875,-2.099142818,-2.785512965,-0.266823671,3.498096328
5.624709875,-2.07477747,-2.480239191,-0.210116753,3.240437786
5.634643875,-2.124965876,-2.245098968,-0.194636852,3.097391299
5.644577875,-2.485091795,-2.28856293,-0.239897225,3.386849893
5.654512875,-2.940617377,-2.563721643,-0.297043233,3.912561041
5.664446875,-3.090584425,-2.942536433,-0.388587241,4.285000909
5.674380875,-2.910543977,-3.239281458,-0.447785622,4.377753141
5.684314875,-2.333340762,-3.10424352,-0.347145685,3.898886645
5.694248875,-1.206599262,-2.61857028,-0.092511138,2.884675095
5.704182875,-0.275193942,-1.929167475,0.195864183,1.958515159
5.714116875,-0.112744843,-1.330974217,0.384428701,1.389960141
